




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	Client Text Box Input (Zea mays)
Reference List:	background_Maize_all_GWAS_mappable_genes.txt (Zea mays)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	background_Maize_all_GWAS_mappable_genes.txt - REFLIST (34395)	Client Text Box Input (313)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
transferase activity, transferring phosphorus-containing groups (GO:0016772)	1985	45	18.06	+	2.49	2.42E-08	2.49E-06
oxidoreductase activity (GO:0016491)	1538	31	14.00	+	2.21	4.23E-05	2.13E-03
ATP binding (GO:0005524)	2779	55	25.29	+	2.17	4.97E-08	4.37E-06
purine ribonucleoside triphosphate binding (GO:0035639)	3083	61	28.06	+	2.17	6.57E-09	8.98E-07
purine nucleotide binding (GO:0017076)	3308	64	30.10	+	2.13	6.21E-09	9.56E-07
ribonucleotide binding (GO:0032553)	3211	62	29.22	+	2.12	1.26E-08	1.64E-06
adenyl nucleotide binding (GO:0030554)	3004	58	27.34	+	2.12	4.79E-08	4.37E-06
purine ribonucleotide binding (GO:0032555)	3172	61	28.87	+	2.11	1.95E-08	2.29E-06
adenyl ribonucleotide binding (GO:0032559)	2868	55	26.10	+	2.11	1.47E-07	1.17E-05
carbohydrate derivative binding (GO:0097367)	3254	62	29.61	+	2.09	2.71E-08	2.67E-06
nucleotide binding (GO:0000166)	3541	67	32.22	+	2.08	6.01E-09	9.87E-07
nucleoside phosphate binding (GO:1901265)	3548	67	32.29	+	2.08	6.39E-09	9.25E-07
catalytic activity, acting on a protein (GO:0140096)	3326	62	30.27	+	2.05	4.39E-08	4.15E-06
heterocyclic compound binding (GO:1901363)	3700	68	33.67	+	2.02	1.99E-08	2.23E-06
anion binding (GO:0043168)	3695	66	33.63	+	1.96	1.01E-07	8.30E-06
protein binding (GO:0005515)	1940	33	17.65	+	1.87	7.44E-04	2.54E-02
hydrolase activity (GO:0016787)	3420	55	31.12	+	1.77	3.62E-05	1.90E-03
transferase activity (GO:0016740)	4605	72	41.91	+	1.72	3.53E-06	2.35E-04
catalytic activity (GO:0003824)	10384	162	94.50	+	1.71	1.93E-15	9.51E-13
small molecule binding (GO:0036094)	7452	116	67.81	+	1.71	4.98E-10	1.23E-07
metal ion binding (GO:0046872)	4134	64	37.62	+	1.70	2.27E-05	1.24E-03
ion binding (GO:0043167)	7313	113	66.55	+	1.70	1.49E-09	3.06E-07
cation binding (GO:0043169)	4147	64	37.74	+	1.70	2.34E-05	1.25E-03
molecular_function (GO:0003674)	18910	251	172.08	+	1.46	8.85E-21	2.18E-17
binding (GO:0005488)	12413	146	112.96	+	1.29	1.46E-04	5.98E-03
Unclassified (UNCLASSIFIED)	15485	62	140.92	-	.44	8.85E-21	1.09E-17
RNA binding (GO:0003723)	1832	5	16.67	-	.30	1.37E-03	4.21E-02
