




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	Client Text Box Input (Zea mays)
Reference List:	background_Maize_all_GWAS_mappable_genes.txt (Zea mays)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	background_Maize_all_GWAS_mappable_genes.txt - REFLIST (34395)	Client Text Box Input (516)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
GTP binding (GO:0005525)	313	14	4.70	+	2.98	3.09E-04	1.09E-02
guanyl nucleotide binding (GO:0019001)	313	14	4.70	+	2.98	3.09E-04	1.07E-02
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	431	19	6.47	+	2.94	3.40E-05	1.61E-03
transferase activity, transferring phosphorus-containing groups (GO:0016772)	1985	84	29.78	+	2.82	6.98E-18	9.55E-16
pyrophosphatase activity (GO:0016462)	771	31	11.57	+	2.68	8.77E-07	5.02E-05
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	776	31	11.64	+	2.66	1.00E-06	5.62E-05
hydrolase activity, acting on acid anhydrides (GO:0016817)	780	31	11.70	+	2.65	1.12E-06	6.12E-05
hydrolase activity, acting on glycosyl bonds (GO:0016798)	430	17	6.45	+	2.64	3.14E-04	1.07E-02
phosphatase activity (GO:0016791)	434	17	6.51	+	2.61	3.49E-04	1.16E-02
ATP hydrolysis activity (GO:0016887)	440	17	6.60	+	2.58	4.08E-04	1.32E-02
purine ribonucleoside triphosphate binding (GO:0035639)	3083	114	46.25	+	2.46	1.27E-19	4.46E-17
ribonucleotide binding (GO:0032553)	3211	116	48.17	+	2.41	3.61E-19	9.88E-17
active transmembrane transporter activity (GO:0022804)	527	19	7.91	+	2.40	4.49E-04	1.44E-02
ATP binding (GO:0005524)	2779	100	41.69	+	2.40	2.82E-16	2.67E-14
purine nucleotide binding (GO:0017076)	3308	119	49.63	+	2.40	1.28E-19	3.93E-17
purine ribonucleotide binding (GO:0032555)	3172	114	47.59	+	2.40	1.03E-18	2.12E-16
carbohydrate derivative binding (GO:0097367)	3254	116	48.82	+	2.38	7.54E-19	1.69E-16
adenyl nucleotide binding (GO:0030554)	3004	105	45.07	+	2.33	2.40E-16	2.36E-14
adenyl ribonucleotide binding (GO:0032559)	2868	100	43.03	+	2.32	1.79E-15	1.58E-13
nucleotide binding (GO:0000166)	3541	121	53.12	+	2.28	2.94E-18	4.52E-16
nucleoside phosphate binding (GO:1901265)	3548	121	53.23	+	2.27	5.05E-18	7.31E-16
heterocyclic compound binding (GO:1901363)	3700	123	55.51	+	2.22	1.35E-17	1.75E-15
oxidoreductase activity (GO:0016491)	1538	51	23.07	+	2.21	1.39E-07	8.59E-06
anion binding (GO:0043168)	3695	121	55.43	+	2.18	9.16E-17	9.81E-15
catalytic activity, acting on a protein (GO:0140096)	3326	99	49.90	+	1.98	3.19E-11	2.71E-09
ion binding (GO:0043167)	7313	197	109.71	+	1.80	1.14E-18	2.01E-16
transferase activity (GO:0016740)	4605	123	69.09	+	1.78	1.02E-10	8.40E-09
small molecule binding (GO:0036094)	7452	199	111.80	+	1.78	1.96E-18	3.21E-16
catalytic activity (GO:0003824)	10384	269	155.78	+	1.73	1.50E-25	1.23E-22
protein binding (GO:0005515)	1940	50	29.10	+	1.72	2.24E-04	8.50E-03
hydrolase activity (GO:0016787)	3420	88	51.31	+	1.72	5.31E-07	3.19E-05
metal ion binding (GO:0046872)	4134	98	62.02	+	1.58	4.22E-06	2.21E-04
cation binding (GO:0043169)	4147	98	62.21	+	1.58	4.47E-06	2.29E-04
molecular_function (GO:0003674)	18910	406	283.69	+	1.43	1.53E-29	3.76E-26
binding (GO:0005488)	12413	255	186.22	+	1.37	4.82E-10	3.49E-08
Unclassified (UNCLASSIFIED)	15485	110	232.31	-	.47	1.53E-29	1.88E-26
zinc ion binding (GO:0008270)	1702	11	25.53	-	.43	1.43E-03	4.35E-02
