"Lines","Long","Lat","crop","BIO01","BIO02","BIO03","BIO04","BIO05","BIO06","BIO07","BIO08","BIO09","BIO10","BIO11","BIO12","BIO13","BIO14","BIO15","BIO16","BIO17","BIO18","BIO19","PC1","PC2","PC3"
"SEEDGWAS3404:MRG:4:250069637",-99.31666667,18.78333333,"maize",23.8642501831055,16.5321254730225,66.5243148803711,202.405212402344,36.0497512817383,11.1984996795654,24.8512516021729,24.7450828552246,24.5602912902832,26.4868335723877,21.3687496185303,967,206,3,109.026985168457,592,18,280,28,-0.761898502359244,3.02921544273846,0.209932774556172
"SEEDGWAS3405:MRG:4:250069638",-99.353592,18.7861,"maize",23.2556972503662,15.5463123321533,66.1594467163086,191.39794921875,34.9635009765625,11.4652500152588,23.4982509613037,23.9868335723877,21.0209579467773,25.7854175567627,20.9429168701172,1064,223,3,108.974922180176,649,20,306,29,-0.709876574271785,2.39931802611867,0.518014763700587
"SEEDGWAS3406:MRG:4:250069639",-99.36666667,18.71666667,"maize",23.2556972503662,15.5463123321533,66.1594467163086,191.39794921875,34.9635009765625,11.4652500152588,23.4982509613037,23.9868335723877,21.0209579467773,25.7854175567627,20.9429168701172,1064,223,3,108.974922180176,649,20,306,29,-0.709876574271785,2.39931802611867,0.518014763700587
"SEEDGWAS3407:MRG:4:250064340",-99.36666667,18.71666667,"maize",23.2556972503662,15.5463123321533,66.1594467163086,191.39794921875,34.9635009765625,11.4652500152588,23.4982509613037,23.9868335723877,21.0209579467773,25.7854175567627,20.9429168701172,1064,223,3,108.974922180176,649,20,306,29,-0.709876574271785,2.39931802611867,0.518014763700587
"SEEDGWAS3408:MRG:4:250064341",-99.386889,18.724361,"maize",23.2556972503662,15.5463123321533,66.1594467163086,191.39794921875,34.9635009765625,11.4652500152588,23.4982509613037,23.9868335723877,21.0209579467773,25.7854175567627,20.9429168701172,1064,223,3,108.974922180176,649,20,306,29,-0.709876574271785,2.39931802611867,0.518014763700587
"SEEDGWAS341:MRG:4:250059093",-105.3333333,20.31666667,"maize",21.656156539917,14.4511041641235,68.4318923950195,213.976181030273,30.8565006256104,9.73900032043457,21.1175003051758,23.9185009002686,20.9077091217041,23.9785423278809,18.9832496643066,1470,370,2,119.995864868164,1055,16,854,42,-1.9494241084024,0.938987224245709,1.83870572105922
"SEEDGWAS3410:MRG:4:250069640",-99.66666667,18.75,"maize",18.6199893951416,14.1092710494995,68.1747283935547,159.954772949219,29.2722492218018,8.57649993896484,20.6957492828369,19.2671661376953,17.5913333892822,20.6702499389648,16.6669998168945,1071,221,7,102.46012878418,630,27,320,27,0.667344529240596,0.0851914743151537,1.5502070861889
"SEEDGWAS3411:MRG:4:250069641",-103.371121,19.560285,"maize",21.1223335266113,16.5107498168945,65.5078048706055,223.035049438477,33.0234985351562,7.81925010681152,25.2042484283447,22.7561664581299,20.0042495727539,23.5028743743896,18.0486660003662,972,210,3,106.388343811035,603,13,412,54,0.340361890037323,1.69549878852128,0.470097233283153
"SEEDGWAS3412:MRG:4:250064342",-102.75,20.35,"maize",19.982271194458,16.7186660766602,62.3168182373047,263.402313232422,33.0052490234375,6.17675018310547,26.828498840332,22.0727081298828,19.5055828094482,22.9680824279785,16.4729995727539,803,218,2,119.712379455566,559,12,189,28,1.37418457159553,1.94546982942499,0.276233572499728
"SEEDGWAS3413:MRG:4:250064343",-99.169233,18.883259,"maize",20.6063537597656,14.2781667709351,67.7171783447266,163.153076171875,31.3554992675781,10.2705001831055,21.0849990844727,21.2567920684814,18.6432495117188,22.7260837554932,18.6432495117188,1095,225,5,107.301765441895,664,23,303,23,-0.0183930049242649,0.982883088614146,1.30105306969745
