species,gene,pvalue
Arabidopsis,AT1G19130,0.000176187
Arabidopsis,AT4G25080,0.0001771651
Arabidopsis,AT5G01500,0.0001789469
Arabidopsis,AT5G61290,0.0001799465
Arabidopsis,AT4G14350,0.0001837204
Arabidopsis,AT1G05710,0.0001843761
Arabidopsis,AT3G27170,0.0001878904
Arabidopsis,AT4G37080,0.0001907121
Arabidopsis,AT5G65890,0.00019272
Arabidopsis,AT5G43990,0.0001927387
Arabidopsis,AT4G32410,0.0001930217
Arabidopsis,AT1G13590,0.000196863
Arabidopsis,AT5G09950,0.0001987117
Arabidopsis,AT1G10220,0.0002003254
Arabidopsis,AT4G04930,0.0002012017
Arabidopsis,AT2G14160,0.0002019683
Arabidopsis,AT2G24680,0.0002023112
Arabidopsis,AT5G41910,0.0002039952
Arabidopsis,AT5G16260,0.0002056041
Arabidopsis,AT5G01510,0.0002057541
Arabidopsis,AT5G44670,0.0002071753
Arabidopsis,AT1G52470,0.0002078548
Arabidopsis,AT3G25010,0.0002092531
Arabidopsis,AT4G34350,0.0002101255
Arabidopsis,AT4G31820,0.0002131069
Arabidopsis,AT1G17000,0.0002192874
Arabidopsis,AT1G59870,0.0002211983
Arabidopsis,AT1G04560,0.000221217
Arabidopsis,AT2G26120,0.0002228791
Arabidopsis,AT1G15020,0.0002242083
Arabidopsis,AT2G17690,0.0002248548
Arabidopsis,AT1G52565,0.0002294423
Arabidopsis,AT4G18050,0.0002297484
Arabidopsis,AT4G18130,0.0002297484
Arabidopsis,AT4G18140,0.0002297484
Arabidopsis,AT5G65920,0.0002307861
Arabidopsis,AT3G13229,0.0002311483
Arabidopsis,AT1G14750,0.0002345196
Arabidopsis,AT5G50790,0.0002395333
Arabidopsis,AT2G02760,0.0002409941
Arabidopsis,AT2G02770,0.0002409941
Arabidopsis,AT5G08680,0.0002411689
Arabidopsis,AT2G14000,0.0002413006
Arabidopsis,AT2G20410,0.0002467132
Arabidopsis,AT5G26090,0.0002473837
Arabidopsis,AT1G07510,0.0002508153
Arabidopsis,AT1G07520,0.0002508153
Arabidopsis,AT4G30570,0.0002516766
Arabidopsis,AT5G50380,0.0002535641
Arabidopsis,AT3G23330,0.0002539011
Arabidopsis,AT5G57280,0.0002576131
Arabidopsis,AT4G14290,0.0002604902
Arabidopsis,AT2G20190,0.0002609228
Arabidopsis,AT2G28220,0.0002629227
Arabidopsis,AT5G44180,0.0002640853
Arabidopsis,AT5G66040,0.0002648081
Arabidopsis,AT4G30480,0.0002674145
Arabidopsis,AT4G30490,0.0002674145
Arabidopsis,AT4G30160,0.0002676667
Arabidopsis,AT4G11630,0.0002695077
Arabidopsis,AT3G07830,0.0002703307
Arabidopsis,AT3G53190,0.0002726899
Arabidopsis,AT1G35630,0.0002729147
Arabidopsis,AT4G39370,0.000274086
Arabidopsis,AT4G14358,0.0002761037
Arabidopsis,AT4G16162,0.000277445
Arabidopsis,AT1G06390,0.000279321
Arabidopsis,AT2G23260,0.000280162
Arabidopsis,AT3G17360,0.0002818905
Arabidopsis,AT1G16840,0.0002820734
Arabidopsis,AT5G07420,0.0002845993
Arabidopsis,AT5G07430,0.0002845993
Arabidopsis,AT3G52590,0.0002877897
Arabidopsis,AT4G12710,0.0002882238
Arabidopsis,AT5G66200,0.0002902898
Arabidopsis,AT5G25520,0.0002929974
Arabidopsis,AT1G21320,0.0002975238
Arabidopsis,AT5G64170,0.0002980029
Arabidopsis,AT3G52970,0.0003026531
Arabidopsis,AT5G54610,0.0003055837
Arabidopsis,AT4G00750,0.0003069234
Arabidopsis,AT5G15400,0.0003078084
Arabidopsis,AT3G17630,0.0003088658
Arabidopsis,AT5G16453,0.0003093479
Arabidopsis,AT4G04740,0.0003135939
Arabidopsis,AT3G23780,0.0003188018
Arabidopsis,AT3G53180,0.0003194414
Arabidopsis,AT5G07830,0.0003217282
Arabidopsis,AT5G41950,0.0003248935
Arabidopsis,AT3G19900,0.000326612
Arabidopsis,AT5G44010,0.000334337
Arabidopsis,AT2G28900,0.0003401366
Arabidopsis,AT3G59410,0.0003425782
Arabidopsis,AT3G17120,0.0003453259
Arabidopsis,AT3G13860,0.000347446
Arabidopsis,AT5G01220,0.0003512012
Arabidopsis,AT4G30825,0.0003513145
Arabidopsis,AT3G53810,0.0003514319
Arabidopsis,AT4G39590,0.0003519735
Arabidopsis,AT1G52690,0.0003529044
Arabidopsis,AT5G65970,0.0003535152
Arabidopsis,AT5G27790,0.0003540145
Arabidopsis,AT5G66280,0.0003553119
Arabidopsis,AT3G59160,0.0003629111
Arabidopsis,AT5G28780,0.0003652406
Arabidopsis,AT4G14280,0.0003678417
Arabidopsis,AT4G01970,0.0003699025
Arabidopsis,AT1G27720,0.0003723723
Arabidopsis,AT4G29940,0.0003726811
Arabidopsis,AT5G64030,0.0003746971
Arabidopsis,AT2G17620,0.0003794934
Arabidopsis,AT4G39580,0.0003796095
Arabidopsis,AT3G29340,0.0003823314
Arabidopsis,AT2G21440,0.0003852464
Arabidopsis,AT3G55130,0.0003863234
Arabidopsis,AT5G59600,0.0003891643
Arabidopsis,AT5G65780,0.0003894535
Arabidopsis,AT5G57500,0.0003901242
Arabidopsis,AT2G37080,0.0003911934
Arabidopsis,AT5G48990,0.0003929926
Arabidopsis,AT5G60250,0.000398009
Arabidopsis,AT5G60320,0.000398009
Arabidopsis,AT2G17200,0.0003994663
