GO biological process complete	Oryza sativa - REFLIST (43658)	upload_1 (343)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
"RNA splicing, via transesterification reactions (GO:0000375)"	198	7	1.56	+	4.5	1.03E-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	86	3	0.68	+	4.44	3.05E-02
amino acid transmembrane transport (GO:0003333)	86	3	0.68	+	4.44	3.05E-02
intracellular signaling cassette (GO:0141124)	87	3	0.68	+	4.39	3.14E-02
RNA catabolic process (GO:0006401)	122	4	0.96	+	4.17	1.59E-02
inorganic ion homeostasis (GO:0098771)	95	3	0.75	+	4.02	3.92E-02
nucleic acid catabolic process (GO:0141188)	129	4	1.01	+	3.95	1.92E-02
auxin-activated signaling pathway (GO:0009734)	131	4	1.03	+	3.89	2.01E-02
immune response-regulating signaling pathway (GO:0002764)	197	6	1.55	+	3.88	4.84E-03
innate immune response-activating signaling pathway (GO:0002758)	197	6	1.55	+	3.88	4.84E-03
immune response-activating signaling pathway (GO:0002757)	197	6	1.55	+	3.88	4.84E-03
amino acid transport (GO:0006865)	99	3	0.78	+	3.86	4.34E-02
intracellular monoatomic cation homeostasis (GO:0030003)	99	3	0.78	+	3.86	4.34E-02
cellular response to auxin stimulus (GO:0071365)	133	4	1.04	+	3.83	2.12E-02
regulation of immune response (GO:0050776)	234	7	1.84	+	3.81	2.65E-03
regulation of immune system process (GO:0002682)	234	7	1.84	+	3.81	2.65E-03
regulation of innate immune response (GO:0045088)	234	7	1.84	+	3.81	2.65E-03
mRNA catabolic process (GO:0006402)	101	3	0.79	+	3.78	4.56E-02
activation of immune response (GO:0002253)	202	6	1.59	+	3.78	5.45E-03
activation of innate immune response (GO:0002218)	202	6	1.59	+	3.78	5.45E-03
plant-type hypersensitive response (GO:0009626)	203	6	1.59	+	3.76	5.58E-03
symbiont-induced defense-related programmed cell death (GO:0034050)	203	6	1.59	+	3.76	5.58E-03
regulation of organelle organization (GO:0033043)	102	3	0.8	+	3.74	4.67E-02
regulation of biological quality (GO:0065008)	343	10	2.69	+	3.71	4.28E-04
negative regulation of DNA-templated transcription (GO:0045892)	103	3	0.81	+	3.71	4.79E-02
negative regulation of RNA biosynthetic process (GO:1902679)	103	3	0.81	+	3.71	4.79E-02
positive regulation of immune response (GO:0050778)	207	6	1.63	+	3.69	6.13E-03
positive regulation of immune system process (GO:0002684)	207	6	1.63	+	3.69	6.13E-03
positive regulation of innate immune response (GO:0045089)	207	6	1.63	+	3.69	6.13E-03
regulation of response to external stimulus (GO:0032101)	280	8	2.2	+	3.64	1.79E-03
regulation of response to biotic stimulus (GO:0002831)	280	8	2.2	+	3.64	1.79E-03
positive regulation of response to external stimulus (GO:0032103)	211	6	1.66	+	3.62	6.71E-03
positive regulation of response to biotic stimulus (GO:0002833)	211	6	1.66	+	3.62	6.71E-03
programmed cell death (GO:0012501)	214	6	1.68	+	3.57	7.17E-03
