GO biological process complete	Arabidopsis thaliana - REFLIST (27475)	upload_1 (10516)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)
diterpenoid metabolic process (GO:0016101)	66	39	25.26	+	1.54	8.32E-04
cellular anatomical entity morphogenesis (GO:0032989)	58	34	22.2	+	1.53	1.76E-03
cellular component assembly involved in morphogenesis (GO:0010927)	58	34	22.2	+	1.53	1.76E-03
cellular response to osmotic stress (GO:0071470)	70	41	26.79	+	1.53	7.59E-04
"mRNA cis splicing, via spliceosome (GO:0045292)"	36	21	13.78	+	1.52	1.60E-02
anther development (GO:0048653)	74	43	28.32	+	1.52	6.89E-04
callose deposition in cell wall (GO:0052543)	31	18	11.87	+	1.52	2.68E-02
sesquiterpene metabolic process (GO:0051761)	26	15	9.95	+	1.51	4.54E-02
cell cycle DNA replication (GO:0044786)	33	19	12.63	+	1.5	3.02E-02
pollen exine formation (GO:0010584)	33	19	12.63	+	1.5	3.02E-02
auxin export across the plasma membrane (GO:0010315)	33	19	12.63	+	1.5	3.02E-02
nitrogen cycle metabolic process (GO:0071941)	49	28	18.75	+	1.49	7.87E-03
negative regulation of flower development (GO:0009910)	44	25	16.84	+	1.48	1.30E-02
lipid homeostasis (GO:0055088)	53	30	20.29	+	1.48	7.06E-03
pollen wall assembly (GO:0010208)	55	31	21.05	+	1.47	7.81E-03
zinc ion transport (GO:0006829)	32	18	12.25	+	1.47	4.46E-02
intercellular transport (GO:0010496)	32	18	12.25	+	1.47	4.46E-02
regulation of secondary metabolic process (GO:0043455)	41	23	15.69	+	1.47	2.36E-02
regulation of supramolecular fiber organization (GO:1902903)	36	20	13.78	+	1.45	3.91E-02
cell cycle G1/S phase transition (GO:0044843)	36	20	13.78	+	1.45	3.91E-02
protein polymerization (GO:0051258)	36	20	13.78	+	1.45	3.91E-02
androecium development (GO:0048466)	108	60	41.34	+	1.45	3.15E-04
stamen development (GO:0048443)	108	60	41.34	+	1.45	3.15E-04
DNA methylation-dependent constitutive heterochromatin formation (GO:0006346)	65	36	24.88	+	1.45	6.80E-03
floral organ morphogenesis (GO:0048444)	49	27	18.75	+	1.44	1.82E-02
positive regulation of abscisic acid-activated signaling pathway (GO:0009789)	51	28	19.52	+	1.43	2.01E-02
positive regulation of cellular component organization (GO:0051130)	51	28	19.52	+	1.43	2.01E-02
regulation of stomatal closure (GO:0090333)	42	23	16.08	+	1.43	3.76E-02
positive regulation of organelle organization (GO:0010638)	42	23	16.08	+	1.43	3.76E-02
cytokinin-activated signaling pathway (GO:0009736)	86	47	32.92	+	1.43	2.50E-03
cortical microtubule organization (GO:0043622)	44	24	16.84	+	1.43	2.98E-02
gibberellic acid mediated signaling pathway (GO:0009740)	79	43	30.24	+	1.42	3.66E-03
constitutive heterochromatin formation (GO:0140719)	70	38	26.79	+	1.42	6.67E-03
negative regulation of post-embryonic development (GO:0048581)	118	64	45.16	+	1.42	5.72E-04
regulation of shoot system development (GO:0048831)	172	93	65.83	+	1.41	2.70E-05
negative regulation of transcription by RNA polymerase II (GO:0000122)	45	24	17.22	+	1.39	4.54E-02
negative regulation of reproductive process (GO:2000242)	64	34	24.5	+	1.39	1.97E-02
regulation of meristem development (GO:0048509)	64	34	24.5	+	1.39	1.97E-02
circadian rhythm (GO:0007623)	125	66	47.84	+	1.38	1.16E-03
rhythmic process (GO:0048511)	146	77	55.88	+	1.38	4.30E-04
axis specification (GO:0009798)	55	29	21.05	+	1.38	3.63E-02
cellular response to brassinosteroid stimulus (GO:0071367)	99	52	37.89	+	1.37	4.90E-03
regulation of stomatal movement (GO:0010119)	120	63	45.93	+	1.37	1.78E-03
regulation of flower development (GO:0009909)	162	85	62.01	+	1.37	2.48E-04
positive regulation of cell communication (GO:0010647)	105	55	40.19	+	1.37	3.43E-03
gibberellin mediated signaling pathway (GO:0010476)	84	44	32.15	+	1.37	9.44E-03
regulation of pH (GO:0006885)	65	34	24.88	+	1.37	2.16E-02
cytokinesis by cell plate formation (GO:0000911)	65	34	24.88	+	1.37	2.16E-02
floral whorl development (GO:0048438)	209	109	79.99	+	1.36	5.68E-05
"photoperiodism, flowering (GO:0048573)"	71	37	27.18	+	1.36	1.98E-02
cellular component disassembly (GO:0022411)	96	50	36.74	+	1.36	6.13E-03
disaccharide metabolic process (GO:0005984)	75	39	28.71	+	1.36	1.70E-02
positive regulation of signal transduction (GO:0009967)	104	54	39.81	+	1.36	6.07E-03
cytoplasmic microtubule organization (GO:0031122)	54	28	20.67	+	1.35	4.90E-02
cortical cytoskeleton organization (GO:0030865)	58	30	22.2	+	1.35	4.19E-02
actin filament-based process (GO:0030029)	118	61	45.16	+	1.35	3.17E-03
