,nitrogen_0-5cm_mean_1000_sorghum,NHx-deposition1993
IS33242.D1EYBACXX.1.250138070,131,225.1300049
IS33261.70MUKAAXX.1.250006427,77,584.5900269
IS34226.D1EYBACXX.1.250138084,77,194.7100067
IS3443.70MUKAAXX.1.250006462,162,318.8699951
IS3457.C1AB3ACXX.7.250137275,263,334.8399963
IS34778.D1EYBACXX.1.250138085,258,498.2399902
IS34781.D1EYBACXX.1.250138086,205,498.2399902
IS34814.D1EYBACXX.1.250138087,166,230.3899994
IS34840.D1EYBACXX.1.250138088,128,230.3899994
IS34851.D1EYBACXX.1.250138089,183,230.3899994
IS34860.D1EYBACXX.1.250138090,209,230.3899994
IS34895.D1EYBACXX.1.250138091,298,197.25
IS34901.D1EYBACXX.1.250138092,158,230.3899994
IS34906.D1EYBACXX.1.250138093,210,230.3899994
IS34908.D1EYBACXX.1.250138094,NA,230.3899994
IS34909.D1EYBACXX.1.250138095,165,230.3899994
IS34913.D1EYBACXX.1.250138096,183,230.3899994
IS34928.D1EYBACXX.1.250138097,188,230.3899994
IS34938.D1EYBACXX.1.250138098,279,230.3899994
IS34939.D1EYBACXX.1.250138099,144,230.3899994
IS34947.D1EYBACXX.1.250138100,162,230.3899994
IS34954.D1EYBACXX.1.250138101,227,235.1300049
IS34965.D1EYBACXX.1.250138260,175,235.1300049
IS34976.D1EYBACXX.1.250138261,295,230.3899994
IS3507.70MUKAAXX.1.250006474,162,318.8699951
IS3511.628P7AAXX.7.250007043,103,318.8699951
