,rice_N
IRIS_313-11957,183
IRIS_313-11958,183
IRIS_313-8580,183
IRIS_313-8599,183
IRIS_313-8732,183
IRIS_313-8911,183
IRIS_313-9032,183
IRIS_313-9112,183
IRIS_313-9115,183
IRIS_313-9116,183
IRIS_313-9119,183
IRIS_313-9302,183
IRIS_313-9357,183
IRIS_313-9451,183
IRIS_313-9567,183
IRIS_313-9669,184
IRIS_313-11541,185
IRIS_313-12127,186
IRIS_313-12128,186
IRIS_313-12222,186
IRIS_313-12227,186
IRIS_313-11836,186
IRIS_313-11837,186
IRIS_313-11841,186
IRIS_313-11920,186
IRIS_313-11484,190
IRIS_313-11964,190
IRIS_313-8854,190
IRIS_313-9218,190
IRIS_313-12334,191
IRIS_313-12346,191
IRIS_313-12251,192
IRIS_313-11452,192
IRIS_313-8568,192
IRIS_313-12039,193
IRIS_313-12247,193
IRIS_313-8303,193
IRIS_313-9258,193
IRIS_313-9547,193
IRIS_313-9317,193
IRIS_313-11088,194
IRIS_313-11402,195
IRIS_313-12246,195
IRIS_313-9391,197
IRIS_313-12259,197
IRIS_313-11982,198
IRIS_313-12321,198
IRIS_313-11072,200
IRIS_313-11077,200
IRIS_313-11079,200
IRIS_313-11081,200
IRIS_313-11082,200
IRIS_313-12071,200
IRIS_313-11331,200
IRIS_313-11334,200
IRIS_313-11341,200
IRIS_313-11345,200
IRIS_313-9484,201
IRIS_313-12289,201
IRIS_313-11093,202
IRIS_313-11196,202
IRIS_313-11388,202
IRIS_313-10798,203
IRIS_313-10655,203
IRIS_313-10656,203
IRIS_313-11722,204
IRIS_313-12147,204
IRIS_313-11688,204
IRIS_313-11921,204
IRIS_313-8702,204
IRIS_313-9415,204
IRIS_313-12036,205
IRIS_313-11162,206
IRGC_44600,206
IRIS_313-9019,206
IRIS_313-11999,207
IRIS_313-12142,207
IRIS_313-11462,207
IRIS_313-11078,208
IRIS_313-12249,209
IRIS_313-9661,210
IRIS_313-10903,210
IRIS_313-10910,210
IRIS_313-10913,210
IRIS_313-8683,211
IRIS_313-9594,211
IRIS_313-9696,211
IRGC_13746,211
IRIS_313-11446,211
IRIS_313-11447,211
IRIS_313-10679,211
IRIS_313-10176,211
IRIS_313-9020,211
IRIS_313-11543,212
IRIS_313-12228,213
IRIS_313-12143,214
IRIS_313-12161,214
IRIS_313-12297,215
IRIS_313-12313,215
IRIS_313-12146,216
IRIS_313-11997,217
IRIS_313-9572,218
IRGC_25924,219
IRIS_313-10964,219
IRIS_313-9368,219
IRIS_313-12000,219
IRIS_313-10659,219
IRIS_313-10660,219
IRIS_313-11083,219
IRIS_313-11091,219
IRIS_313-11095,219
IRGC_33130,219
IRGC_33888,219
IRIS_313-11195,219
IRIS_313-11405,219
IRIS_313-11816,219
IRIS_313-11817,219
IRIS_313-11818,219
IRIS_313-11819,219
IRIS_313-11820,219
IRIS_313-12269,219
IRIS_313-9182,219
IRIS_313-11563,219
IRIS_313-11343,219
IRIS_313-11340,220
IRIS_313-10863,221
IRIS_313-8812,221
IRIS_313-11471,221
IRIS_313-12353,222
IRIS_313-11918,223
IRIS_313-11993,223
IRIS_313-12074,223
IRIS_313-8872,223
IRIS_313-8283,224
IRGC_12331,224
IRGC_12386,224
IRIS_313-10667,224
IRIS_313-10668,224
IRIS_313-10670,224
IRIS_313-10849,224
IRIS_313-10850,224
IRIS_313-10851,224
IRIS_313-10852,224
IRIS_313-10853,224
IRIS_313-10854,224
IRIS_313-10855,224
IRIS_313-10861,224
IRIS_313-10862,224
IRIS_313-10864,224
IRIS_313-8498,224
IRIS_313-9137,224
IRIS_313-9176,224
IRIS_313-11500,224
IRIS_313-9301,224
IRIS_313-12076,227
IRIS_313-12342,227
IRIS_313-10557,228
IRIS_313-10648,228
IRIS_313-11089,228
IRIS_313-11935,228
IRIS_313-11936,228
IRIS_313-12040,229
IRIS_313-8474,229
IRIS_313-12058,230
IRIS_313-8632,231
IRIS_313-11073,232
IRIS_313-12077,232
IRIS_313-11508,232
IRIS_313-11041,233
IRIS_313-11403,233
IRIS_313-11335,233
IRIS_313-12254,234
IRIS_313-12265,234
IRIS_313-8751,234
IRIS_313-11399,235
IRIS_313-8437,235
IRIS_313-8567,235
IRIS_313-11925,235
IRIS_313-12042,236
IRIS_313-12349,237
IRIS_313-12355,238
IRIS_313-8930,240
IRIS_313-9445,240
IRIS_313-12151,241
IRIS_313-10758,241
IRIS_313-10771,241
IRIS_313-10776,241
IRIS_313-10790,241
IRGC_78257,241
IRIS_313-9406,241
IRIS_313-12164,242
IRIS_313-10680,242
IRIS_313-12312,242
IRIS_313-11495,243
IRIS_313-12050,243
IRIS_313-11169,244
IRIS_313-12350,246
IRIS_313-8864,248
IRIS_313-12257,248
IRIS_313-12262,248
IRIS_313-12096,252
IRIS_313-11042,253
IRIS_313-12337,253
IRIS_313-11945,255
IRGC_117617,257
IRIS_313-12352,257
IRIS_313-9281,257
IRIS_313-11829,258
IRIS_313-12038,259
IRIS_313-12041,259
IRIS_313-12044,259
IRIS_313-11497,260
IRIS_313-12252,260
IRIS_313-8565,261
IRIS_313-11894,262
IRIS_313-10799,264
IRIS_313-12347,264
IRIS_313-11008,265
IRIS_313-11493,266
IRIS_313-8948,266
IRIS_313-10767,267
IRIS_313-10780,267
IRIS_313-10794,267
IRIS_313-10812,267
IRIS_313-10816,267
IRIS_313-12291,267
IRIS_313-11483,268
IRIS_313-12307,269
IRIS_313-12336,269
IRGC_117269,273
IRGC_117271,273
IRGC_117277,273
IRGC_117280,273
IRGC_1427,273
IRGC_4541,273
IRGC_4860,273
IRGC_4887,273
IRGC_51400,273
IRGC_53437,273
IRGC_59673,273
IRGC_59849,273
IRGC_59930,273
IRGC_59932,273
IRGC_752,273
IRGC_8195,273
IRGC_8266,273
IRIS_313-10129,273
IRIS_313-10211,273
IRIS_313-10450,273
IRIS_313-10453,273
IRIS_313-10497,273
IRIS_313-10502,273
IRIS_313-10503,273
IRIS_313-10504,273
IRIS_313-10558,273
IRIS_313-10559,273
IRIS_313-10560,273
IRIS_313-10561,273
IRIS_313-10562,273
IRIS_313-11651,273
IRIS_313-11652,273
IRIS_313-11653,273
IRIS_313-11654,273
IRIS_313-11655,273
IRIS_313-11947,273
IRIS_313-11948,273
IRIS_313-11949,273
IRIS_313-11950,273
IRIS_313-11951,273
IRIS_313-11952,273
IRIS_313-11953,273
IRIS_313-11954,273
IRIS_313-11955,273
IRIS_313-8380,273
IRIS_313-8645,273
IRIS_313-9017,273
IRIS_313-9204,273
IRIS_313-9324,273
IRIS_313-9372,273
IRIS_313-9469,273
IRIS_313-9555,273
IRIS_313-12052,275
IRIS_313-9557,275
IRIS_313-10937,275
IRIS_313-12332,275
IRIS_313-10007,275
IRIS_313-12121,276
IRIS_313-12134,276
IRIS_313-12194,276
IRIS_313-10803,277
IRIS_313-10931,278
IRIS_313-10990,278
IRIS_313-10653,281
IRIS_313-12348,283
IRIS_313-11992,285
IRIS_313-12226,285
IRIS_313-12229,285
IRIS_313-12344,286
IRIS_313-11377,286
IRIS_313-10152,287
IRGC_66792,289
IRGC_122298,289
IRGC_68159,292
IRIS_313-11744,292
IRIS_313-11745,292
IRIS_313-9730,292
IRIS_313-11208,293
IRIS_313-12037,294
IRIS_313-10664,296
IRIS_313-10847,296
IRIS_313-9201,296
IRIS_313-12354,296
IRIS_313-10092,297
IRIS_313-11400,298
IRIS_313-10762,300
IRIS_313-10779,300
IRIS_313-10797,300
IRIS_313-10818,300
IRIS_313-10823,300
IRIS_313-10960,300
IRIS_313-10961,300
IRIS_313-10962,300
IRIS_313-8436,300
IRIS_313-11691,301
IRIS_313-10689,301
IRIS_313-8865,301
IRIS_313-10096,301
IRIS_313-10801,303
IRIS_313-12043,304
IRGC_40748,304
IRIS_313-11998,305
IRIS_313-12102,305
IRIS_313-12266,305
IRGC_67034,307
IRGC_67096,307
IRIS_313-10177,307
IRIS_313-10221,307
IRIS_313-11965,307
IRIS_313-11966,307
IRIS_313-11967,307
IRIS_313-11968,307
IRIS_313-12007,307
IRIS_313-12009,307
IRIS_313-12010,307
IRIS_313-12011,307
IRIS_313-12012,307
IRIS_313-10815,307
IRIS_313-8643,307
IRIS_313-8831,307
IRIS_313-9242,307
IRIS_313-10581,307
IRIS_313-10786,308
IRIS_313-11522,310
IRIS_313-12059,310
IRIS_313-12060,310
IRIS_313-12061,310
IRIS_313-11913,311
IRIS_313-11542,312
IRIS_313-11544,312
IRIS_313-11547,312
IRIS_313-8793,312
IRGC_26872,313
IRIS_313-11467,313
IRIS_313-11532,313
IRIS_313-8978,316
IRIS_313-12190,316
IRIS_313-12207,316
IRIS_313-12258,316
IRIS_313-12311,316
IRIS_313-12148,317
IRIS_313-10768,318
IRIS_313-10769,318
IRIS_313-10778,318
IRIS_313-10787,318
IRIS_313-10804,318
IRIS_313-10806,318
IRIS_313-10813,318
IRIS_313-9117,318
IRIS_313-11005,319
IRIS_313-11006,319
IRIS_313-12300,319
IRIS_313-10943,320
IRIS_313-10899,321
IRIS_313-10900,321
IRIS_313-10901,321
IRIS_313-10908,321
IRIS_313-11535,322
IRIS_313-12109,323
IRIS_313-12296,323
IRIS_313-10867,325
IRIS_313-10868,325
IRIS_313-9392,325
IRIS_313-11117,325
IRIS_313-12341,326
IRIS_313-11336,326
IRIS_313-11833,326
IRIS_313-11840,326
IRIS_313-10692,328
IRIS_313-8721,331
IRIS_313-11320,333
IRIS_313-9239,333
IRIS_313-8493,339
IRIS_313-8735,339
IRIS_313-11736,340
IRIS_313-9616,340
IRIS_313-10228,341
IRIS_313-10239,341
IRIS_313-12275,341
IRGC_77530,343
IRIS_313-10953,343
IRIS_313-11319,343
IRIS_313-11337,343
IRIS_313-11611,345
IRIS_313-11338,347
IRGC_43372,348
IRIS_313-11311,348
IRIS_313-7885,348
IRIS_313-9405,348
IRIS_313-8291,349
IRIS_313-8767,349
IRIS_313-12290,349
IRIS_313-11629,351
IRIS_313-11379,352
IRGC_35834,354
IRIS_313-10761,354
IRIS_313-10765,354
IRIS_313-10766,354
IRIS_313-10774,354
IRIS_313-10775,354
IRIS_313-10777,354
IRIS_313-10782,354
IRIS_313-10783,354
IRIS_313-10788,354
IRIS_313-10791,354
IRIS_313-10802,354
IRIS_313-10810,354
IRIS_313-10811,354
IRIS_313-10819,354
IRIS_313-10820,354
IRIS_313-10821,354
IRIS_313-8314,354
IRIS_313-8368,354
IRIS_313-8744,354
IRGC_74606,354
IRIS_313-8594,354
IRIS_313-11001,356
IRIS_313-11003,358
IRIS_313-11004,358
IRIS_313-8637,360
IRGC_42469,363
IRIS_313-10666,363
IRGC_67429,364
IRIS_313-9423,364
IRIS_313-11330,366
IRGC_12731,370
IRGC_14779,370
IRGC_40252,370
IRGC_410,370
IRGC_8191,370
IRGC_8257,370
IRIS_313-10071,370
IRIS_313-10073,370
IRIS_313-10074,370
IRIS_313-10075,370
IRIS_313-10076,370
IRIS_313-10077,370
IRIS_313-10078,370
IRIS_313-10079,370
IRIS_313-10080,370
IRIS_313-10082,370
IRIS_313-10469,370
IRIS_313-10569,370
IRIS_313-10642,370
IRIS_313-11725,370
IRIS_313-8755,370
IRIS_313-9002,370
IRIS_313-9081,370
IRIS_313-9800,370
IRIS_313-9884,370
IRIS_313-8302,371
IRGC_43322,371
IRGC_43369,371
IRGC_66640,371
IRIS_313-10936,371
IRIS_313-10952,371
IRIS_313-10957,371
IRIS_313-10958,371
IRIS_313-11313,371
IRIS_313-11315,371
IRIS_313-8922,371
IRIS_313-8998,371
IRIS_313-11076,373
IRIS_313-10938,376
IRIS_313-10940,376
IRIS_313-10941,376
IRIS_313-8664,376
IRIS_313-9054,376
IRIS_313-9470,376
IRIS_313-11959,376
IRIS_313-8811,377
IRIS_313-11010,379
IRIS_313-9188,379
IRIS_313-10830,380
IRIS_313-11973,380
IRIS_313-11994,383
IRIS_313-11995,383
IRIS_313-12073,383
IRIS_313-12271,383
IRIS_313-12242,385
IRIS_313-12301,385
IRIS_313-8342,385
IRIS_313-10944,386
IRIS_313-11991,386
IRIS_313-12028,386
IRIS_313-10610,386
IRIS_313-8244,386
IRIS_313-11624,388
IRIS_313-11625,388
IRGC_44455,388
IRIS_313-10827,388
IRIS_313-11673,388
IRIS_313-10644,389
IRIS_313-10645,389
IRIS_313-10720,392
IRIS_313-10721,392
IRGC_63544,393
IRGC_63726,393
IRIS_313-10807,393
IRGC_67428,393
IRGC_67431,393
IRIS_313-11934,393
IRIS_313-11473,395
IRIS_313-11893,395
IRGC_328,396
IRIS_313-10828,396
IRIS_313-10829,396
IRIS_313-10831,396
IRIS_313-10832,396
IRIS_313-11928,396
IRIS_313-11929,396
IRIS_313-11380,397
IRIS_313-9697,397
IRGC_58278,398
IRIS_313-9783,398
IRIS_313-8725,398
IRGC_43400,400
IRGC_43540,400
IRIS_313-10773,400
IRIS_313-10822,400
IRIS_313-10942,400
IRIS_313-11178,400
IRIS_313-11180,400
IRIS_313-9208,400
IRIS_313-12302,401
IRIS_313-9101,401
IRIS_313-12133,402
IRIS_313-12225,402
IRIS_313-12260,402
IRIS_313-12308,402
IRIS_313-12069,403
IRIS_313-9590,404
IRIS_313-12182,404
IRIS_313-9384,405
IRIS_313-10094,406
IRIS_313-11007,408
IRIS_313-10684,410
IRIS_313-12141,411
IRIS_313-11312,411
IRIS_313-11314,411
IRIS_313-11316,411
IRIS_313-8536,411
IRIS_313-9251,411
IRIS_313-10814,412
IRIS_313-10935,412
IRIS_313-10951,412
IRIS_313-10956,412
IRIS_313-11179,412
IRIS_313-11181,412
IRIS_313-11317,412
IRIS_313-11971,412
IRIS_313-8833,412
IRIS_313-12180,417
IRGC_31,418
IRIS_313-10428,418
IRIS_313-10688,418
IRIS_313-10694,418
IRIS_313-10695,418
IRIS_313-10697,418
IRIS_313-10698,418
IRIS_313-10699,418
IRIS_313-10700,418
IRIS_313-10701,418
IRIS_313-10702,418
IRIS_313-10703,418
IRIS_313-10705,418
IRIS_313-10706,418
IRIS_313-10707,418
IRIS_313-11849,418
IRIS_313-11850,418
IRIS_313-12005,418
IRIS_313-12006,418
IRIS_313-12030,418
IRIS_313-12285,418
IRIS_313-8316,418
IRIS_313-8407,418
IRIS_313-8439,418
IRIS_313-8468,418
IRIS_313-8557,418
IRIS_313-8591,418
IRIS_313-8723,418
IRIS_313-8781,418
IRIS_313-9070,418
IRIS_313-9210,418
IRIS_313-9699,418
IRIS_313-10917,418
IRIS_313-10918,418
IRIS_313-10919,418
IRIS_313-10920,418
IRIS_313-9558,419
IRIS_313-11851,420
IRIS_313-9187,421
IRIS_313-8699,421
IRIS_313-10760,422
IRIS_313-10805,422
IRIS_313-11009,422
IRIS_313-11318,422
IRIS_313-11397,422
IRIS_313-9314,422
IRIS_313-8457,423
IRIS_313-10996,425
IRIS_313-7883,425
IRIS_313-10792,426
IRIS_313-12272,426
IRIS_313-10650,427
IRGC_71598,428
IRIS_313-10661,429
IRIS_313-12210,429
IRIS_313-9506,431
IRIS_313-10992,434
IRIS_313-11465,434
IRIS_313-9949,436
IRIS_313-10717,437
IRIS_313-9809,437
IRIS_313-9861,437
IRIS_313-9862,437
IRGC_19972,438
IRGC_27129,438
IRGC_8260,438
IRGC_8261,438
IRGC_9147,438
IRIS_313-10738,438
IRIS_313-10739,438
IRIS_313-10740,438
IRIS_313-10741,438
IRIS_313-10742,438
IRIS_313-10743,438
IRIS_313-10744,438
IRIS_313-10745,438
IRIS_313-10746,438
IRIS_313-10747,438
IRIS_313-10770,438
IRIS_313-10824,438
IRIS_313-10841,438
IRIS_313-10842,438
IRIS_313-10844,438
IRIS_313-10945,438
IRIS_313-10946,438
IRIS_313-10950,438
IRIS_313-10959,438
IRIS_313-10997,438
IRIS_313-10998,438
IRIS_313-11000,438
IRIS_313-11011,438
IRIS_313-11012,438
IRIS_313-11182,438
IRIS_313-8324,438
IRIS_313-8956,438
IRIS_313-9005,438
IRIS_313-9129,438
IRIS_313-9273,438
IRIS_313-9320,438
IRGC_38698,439
IRGC_10430,439
IRGC_117279,439
IRGC_42576,439
IRGC_5508,439
IRGC_65293,439
IRGC_8196,439
IRGC_8238,439
IRGC_8242,439
IRGC_8267,439
IRGC_8268,439
IRGC_8269,439
IRIS_313-10429,439
IRIS_313-10515,439
IRIS_313-10631,439
IRIS_313-11692,439
IRIS_313-11693,439
IRIS_313-11694,439
IRIS_313-11695,439
IRIS_313-11698,439
IRIS_313-11981,439
IRIS_313-8743,439
IRIS_313-9701,439
IRIS_313-9702,439
IRIS_313-9758,439
IRGC_14413,440
IRIS_313-10955,440
IRIS_313-10995,440
IRIS_313-11970,440
IRIS_313-9098,440
IRIS_313-9310,440
IRIS_313-8883,440
IRIS_313-9929,440
IRIS_313-11346,446
IRIS_313-11463,447
IRIS_313-11441,448
IRIS_313-8857,451
IRIS_313-9048,451
IRGC_44513,452
IRIS_313-10578,452
IRIS_313-10580,452
IRIS_313-11534,454
IRIS_313-11711,455
IRGC_71528,458
IRIS_313-8492,459
IRIS_313-11632,459
IRIS_313-9050,460
IRGC_23364,460
IRIS_313-9529,463
IRIS_313-8519,464
IRIS_313-10690,465
IRIS_313-9097,466
IRGC_117276,467
IRIS_313-10065,467
IRIS_313-10067,467
IRIS_313-10837,467
IRIS_313-10838,467
IRIS_313-10839,467
IRIS_313-10840,467
IRIS_313-12217,467
IRIS_313-9379,467
IRIS_313-9886,467
IRIS_313-9887,467
IRIS_313-9890,467
IRIS_313-9891,467
IRIS_313-9974,467
IRIS_313-9976,467
IRIS_313-12070,469
IRIS_313-11328,472
IRIS_313-8279,472
IRIS_313-11464,473
IRIS_313-10693,476
IRIS_313-11381,477
IRIS_313-11996,477
IRIS_313-8356,477
IRIS_313-9325,478
IRIS_313-8894,479
IRIS_313-10020,480
IRIS_313-10869,481
IRIS_313-10870,481
IRIS_313-10704,481
IRGC_71494,483
IRIS_313-9694,483
IRIS_313-11672,486
IRIS_313-8815,487
IRGC_55418,490
IRIS_313-11512,490
IRIS_313-10093,490
IRIS_313-10097,490
IRIS_313-11741,492
IRGC_121705,493
IRGC_3849,493
IRGC_4020,493
IRGC_5423,493
IRGC_8182,493
IRGC_8244,493
IRGC_8245,493
IRGC_9804,493
IRIS_313-10433,493
IRIS_313-10489,493
IRIS_313-10510,493
IRIS_313-10511,493
IRIS_313-10514,493
IRIS_313-11339,493
IRIS_313-12051,493
IRIS_313-12066,493
IRIS_313-12067,493
IRIS_313-12080,493
IRIS_313-12081,493
IRIS_313-8292,493
IRIS_313-8383,493
IRIS_313-9505,493
IRGC_71589,494
IRIS_313-11424,495
IRIS_313-8431,495
IRIS_313-9375,499
IRGC_51064,499
IRIS_313-10298,499
IRIS_313-9917,499
IRIS_313-10865,502
IRIS_313-10866,502
IRIS_313-8987,502
IRIS_313-11916,505
IRGC_16800,507
IRGC_16872,507
IRGC_8227,507
IRGC_8228,507
IRGC_8231,507
IRGC_8234,507
IRIS_313-10554,507
IRIS_313-10555,507
IRIS_313-10556,507
IRIS_313-10748,507
IRIS_313-10749,507
IRIS_313-10750,507
IRIS_313-10751,507
IRIS_313-10755,507
IRIS_313-10970,507
IRIS_313-11118,507
