,TN_maize,NHx_maize
SEEDGWAS1144:MRG:4:250070154,191,544.3800049
SEEDGWAS1145:MRG:4:250070155,451,599.789978
SEEDGWAS1146:MRG:4:250070156,NA,344.1400146
SEEDGWAS1147:MRG:4:250070157,259,344.1400146
SEEDGWAS1148:MRG:4:250070158,196,344.1400146
SEEDGWAS115:MRG:4:250054528,334,23.80999947
SEEDGWAS1150:MRG:4:250070159,196,344.1400146
SEEDGWAS1151:MRG:4:250070160,259,344.1400146
SEEDGWAS1152:MRG:4:250070161,259,344.1400146
SEEDGWAS1156:MRG:4:250070164,284,344.1400146
SEEDGWAS1157:MRG:4:250070165,182,344.1400146
SEEDGWAS1161:MRG:4:250070169,NA,599.789978
SEEDGWAS1166:MRG:4:250070172,264,190.4700012
SEEDGWAS1167:MRG:4:250070173,NA,544.3800049
SEEDGWAS1168:MRG:4:250070174,478,544.3800049
SEEDGWAS1169:MRG:4:250070175,187,544.3800049
SEEDGWAS117:MRG:4:250054530,361,344.1400146
SEEDGWAS1170:MRG:4:250070176,248,190.4700012
SEEDGWAS1171:MRG:4:250070177,NA,363.2600098
SEEDGWAS1172:MRG:4:250070178,245,363.2600098
SEEDGWAS1173:MRG:4:250070179,163,363.2600098
SEEDGWAS1174:MRG:4:250070180,163,363.2600098
SEEDGWAS1175:MRG:4:250070181,163,363.2600098
SEEDGWAS1176:MRG:4:250070182,226,544.3800049
SEEDGWAS1177:MRG:4:250070183,181,190.4700012
SEEDGWAS1178:MRG:4:250070184,217,190.4700012
SEEDGWAS1179:MRG:4:250070185,250,544.3800049
SEEDGWAS118:MRG:4:250054531,227,344.1400146
SEEDGWAS1180:MRG:4:250070186,373,544.3800049
SEEDGWAS1183:MRG:4:250070188,367,264.7799988
SEEDGWAS1184:MRG:4:250070189,403,599.789978
SEEDGWAS1185:MRG:4:250070190,173,344.1400146
SEEDGWAS1187:MRG:4:250070192,349,37.13000107
SEEDGWAS1188:MRG:4:250070193,190,363.2600098
SEEDGWAS1189:MRG:4:250070194,391,599.789978
SEEDGWAS119:MRG:4:250054532,210,344.1400146
SEEDGWAS1191:MRG:4:250070195,209,344.1400146
SEEDGWAS1192:MRG:4:250070196,428,344.1400146
SEEDGWAS1195:MRG:4:250070199,891,162.4799957
SEEDGWAS1196:MRG:4:250070200,813,162.4799957
SEEDGWAS1197:MRG:4:250070201,451,195.7400055
SEEDGWAS1198:MRG:4:250070202,501,195.7400055
SEEDGWAS1199:MRG:4:250070203,560,195.7400055
SEEDGWAS12:MRG:4:250054454,613,599.789978
SEEDGWAS120:MRG:4:250054533,223,344.1400146
SEEDGWAS1200:MRG:4:250070204,269,539.8900146
SEEDGWAS1204:MRG:4:250070208,215,539.8900146
SEEDGWAS1205:MRG:4:250070209,234,539.8900146
SEEDGWAS1206:MRG:4:250070210,168,539.8900146
SEEDGWAS1207:MRG:4:250070211,321,195.7400055
SEEDGWAS1208:MRG:4:250070212,275,539.8900146
SEEDGWAS1209:MRG:4:250070213,NA,134.0700073
SEEDGWAS121:MRG:4:250054534,522,599.789978
