"Lines","Long","Lat","crop","n_value","log_n"
"BRIDGE_BCC_112",12.6,32.03333333,"barley",148,2.17026171539496
"BRIDGE_HOR_3959",12.64805556,47.28222222,"barley",969,2.98632377705077
"BRIDGE_HOR_10943",12.68333333,43.71666667,"barley",495,2.69460519893357
"BRIDGE_HOR_10944",12.68333333,43.71666667,"barley",495,2.69460519893357
"BRIDGE_HOR_10555",12.73666667,37.94027778,"barley",209,2.32014628611105
"BRIDGE_HOR_10670",12.73666667,37.94027778,"barley",209,2.32014628611105
"BRIDGE_HOR_10772",12.73666667,37.94027778,"barley",209,2.32014628611105
"BRIDGE_HOR_3954",12.8,47.06638889,"barley",1170,3.06818586174616
"BRIDGE_HOR_3777",12.86972222,46.86972222,"barley",933,2.9698816437465
"BRIDGE_HOR_3960",12.86972222,46.86972222,"barley",933,2.9698816437465
"BRIDGE_HOR_3949",12.88,46.96972222,"barley",749,2.87448181769947
"BRIDGE_HOR_3956",12.9,46.67972222,"barley",994,2.99738638439731
"BRIDGE_HOR_10937",12.98305556,42.54972222,"barley",646,2.81023251799508
"BRIDGE_HOR_9857",13.00777778,48.13444444,"barley",872,2.94051648493257
"BRIDGE_HOR_9858",13.00777778,48.13444444,"barley",872,2.94051648493257
"BRIDGE_HOR_10939",13.06638889,43.13305556,"barley",457,2.65991620006985
"BRIDGE_HOR_10940",13.06638889,43.13305556,"barley",457,2.65991620006985
"BRIDGE_HOR_10941",13.06638889,43.13305556,"barley",457,2.65991620006985
"BRIDGE_HOR_10942",13.06638889,43.13305556,"barley",457,2.65991620006985
"BRIDGE_HOR_10992",13.06638889,43.13305556,"barley",457,2.65991620006985
"BRIDGE_HOR_10945",13.1,43.71666667,"barley",422,2.62531245096167
"BRIDGE_HOR_10950",13.1,43.71666667,"barley",422,2.62531245096167
"BRIDGE_HOR_11107",13.1,43.71666667,"barley",422,2.62531245096167
"BRIDGE_HOR_11108",13.1,43.71666667,"barley",422,2.62531245096167
"BRIDGE_HOR_3950",13.16972222,46.97972222,"barley",797,2.90145832139611
"BRIDGE_HOR_3961",13.2,47.35,"barley",1084,3.03502928220237
"BRIDGE_HOR_9848",13.29694444,47.9925,"barley",872,2.94051648493257
"BRIDGE_HOR_9850",13.29694444,47.9925,"barley",872,2.94051648493257
"BRIDGE_HOR_9851",13.29694444,47.9925,"barley",872,2.94051648493257
"BRIDGE_HOR_10936",13.3,42.51638889,"barley",406,2.60852603357719
"BRIDGE_HOR_11012",13.3,42.51638889,"barley",406,2.60852603357719
"BRIDGE_BCC_1590",13.3,42.51666667,"barley",406,2.60852603357719
"BRIDGE_HOR_10553",13.34,37.65777778,"barley",273,2.43616264704076
"BRIDGE_HOR_8702",13.36638889,37.88305556,"barley",258,2.41161970596323
"BRIDGE_HOR_3951",13.5,46.92972222,"barley",760,2.88081359228079
"BRIDGE_HOR_3957",13.5,47.14972222,"barley",900,2.95424250943932
"BRIDGE_HOR_3958",13.61972222,47.07972222,"barley",812,2.90955602924118
"BRIDGE_HOR_9855",13.66666667,48.5,"barley",712,2.85247999363686
"BRIDGE_HOR_9856",13.66666667,48.5,"barley",712,2.85247999363686
"BRIDGE_HOR_10552",13.75,37.62333333,"barley",253,2.40312052117582
"BRIDGE_HOR_10638",13.75,37.62333333,"barley",253,2.40312052117582
"BRIDGE_HOR_9712",14.085,41.36638889,"barley",288,2.45939248775923
"BRIDGE_HOR_13488_A",14.21638889,40.54972222,"barley",NA,NA
"BRIDGE_HOR_22164",14.21638889,40.54972222,"barley",NA,NA
"BRIDGE_HOR_9711",14.22916667,41.45694444,"barley",381,2.58092497567562
"BRIDGE_HOR_10630",14.47,48.54972222,"barley",753,2.8767949762007
"BRIDGE_HOR_3953",14.53305556,46.85,"barley",871,2.94001815500766
"BRIDGE_HOR_10094",14.76194444,48.51138889,"barley",826,2.91698004732038
"BRIDGE_HOR_9852",14.76194444,48.51138889,"barley",826,2.91698004732038
"BRIDGE_HOR_9853",14.76194444,48.51138889,"barley",826,2.91698004732038
"BRIDGE_HOR_9854",14.76194444,48.51138889,"barley",826,2.91698004732038
"BRIDGE_HOR_9256",14.91638889,41.26638889,"barley",423,2.62634036737504
"BRIDGE_HOR_9265",14.91638889,41.26638889,"barley",423,2.62634036737504
"BRIDGE_HOR_9462",14.91638889,41.26638889,"barley",423,2.62634036737504
"BRIDGE_HOR_13487",14.93305556,38.48305556,"barley",357,2.55266821611219
"BRIDGE_HOR_13486",14.96638889,38.39972222,"barley",343,2.53529412004277
"BRIDGE_HOR_9264",14.96805556,41.47138889,"barley",376,2.57518784492766
"BRIDGE_HOR_9308",14.96805556,41.47138889,"barley",376,2.57518784492766
"BRIDGE_HOR_9309",14.96805556,41.47138889,"barley",376,2.57518784492766
"BRIDGE_HOR_9257",15,41.33305556,"barley",460,2.66275783168157
"BRIDGE_HOR_9267",15,41.33305556,"barley",460,2.66275783168157
"BRIDGE_HOR_10411",15.08305556,41.34083333,"barley",350,2.54406804435028
"BRIDGE_HOR_10412",15.08305556,41.34083333,"barley",350,2.54406804435028
"BRIDGE_HOR_9268",15.08305556,41.34083333,"barley",350,2.54406804435028
"BRIDGE_HOR_9269",15.08305556,41.34083333,"barley",350,2.54406804435028
"BRIDGE_HOR_9273",15.08305556,41.28944444,"barley",363,2.55990662503611
"BRIDGE_HOR_9310",15.08305556,41.34083333,"barley",350,2.54406804435028
"BRIDGE_HOR_1999",15.09972222,37.5,"barley",NA,NA
"BRIDGE_HOR_4280",15.09972222,37.5,"barley",NA,NA
"BRIDGE_HOR_9258",15.15,41.33694444,"barley",526,2.72098574415374
"BRIDGE_HOR_9270",15.15,41.33694444,"barley",526,2.72098574415374
"BRIDGE_HOR_13158",15.16666667,45.28333333,"barley",776,2.88986172125819
"BRIDGE_HOR_9274",15.18305556,41.24333333,"barley",398,2.59988307207369
"BRIDGE_HOR_13159",15.23333333,45.2,"barley",692,2.84010609445676
"BRIDGE_HOR_9704",15.25,40.85,"barley",455,2.65801139665711
"BRIDGE_HOR_9705",15.25,40.85,"barley",455,2.65801139665711
"BRIDGE_HOR_2285",15.26638889,37.91638889,"barley",358,2.55388302664387
"BRIDGE_HOR_4579",15.26638889,37.91638889,"barley",358,2.55388302664387
"BRIDGE_HOR_2000",15.28305556,40.03305556,"barley",NA,NA
