,at_aridity_index
8256,10214
8258,10214
8259,10214
8264,5346
8283,9210
8284,6422
8285,6422
8290,6641
8297,9601
8306,10624
8307,10607
8311,15554
8312,10148
8326,7658
8334,7989
8335,8225
8337,7628
8343,6467
8351,8938
8354,8102
8357,4857
8365,5435
8366,8437
8369,8921
8376,0
8386,9041
8387,7384
8419,8161
8420,6431
8422,7857
8424,1520
8426,9568
8427,9501
8464,8610
8483,8610
8699,8480
8723,8480
9027,8503
9057,9540
9058,7446
9067,8477
9069,8477
9070,8477
9075,6731
9078,6731
9079,6218
9081,6218
9084,6218
9085,6218
9089,6201
9091,6201
9095,5668
9099,5668
9100,6743
9102,6743
9103,6743
9104,6743
9105,6743
9106,6743
9111,6743
9113,6743
9114,6743
9115,6743
9121,7055
9125,3851
9128,3464
9130,3464
9131,3464
9133,3464
9134,3464
9298,8452
9312,0
9314,0
9321,11513
9323,11513
9332,11461
9336,11059
9339,9869
9343,0
9352,7766
9353,7766
9363,0
9369,9160
9370,9160
9371,0
9380,8713
9381,0
9382,0
9383,0
9386,10856
9388,10856
9390,7596
9391,7596
9392,7596
9394,0
9395,9377
9399,8374
9402,9265
9404,8882
9405,8882
9407,8882
9408,10238
9409,7691
9412,7495
9413,7495
9416,6932
9421,0
9427,11442
9433,11029
9436,8425
9437,8425
9442,7937
9450,7218
9451,7218
9452,7218
9453,7722
9454,7722
9455,7722
9470,10190
9471,9501
9476,0
9481,0
9503,12676
9506,7445
9507,3362
9508,5493
9509,4509
9510,4297
9511,3844
9512,3481
9513,2667
9514,2955
9515,3590
9517,14802
9518,3122
9519,6183
9520,2756
9521,4973
9522,4401
9523,2309
9524,5459
9525,8159
9526,5289
9527,5847
9528,3200
9529,3692
9530,3219
9531,2882
9532,3459
9533,3024
9534,2110
9535,3931
9536,3612
9537,3873
9539,6789
9540,6899
9541,3710
9542,11196
9543,5495
9544,3404
9545,3655
9546,3754
9547,6235
9548,4864
9549,3605
9550,11752
9551,5416
9552,2906
9553,3040
9554,2494
9555,3141
9556,2627
9557,7727
9558,4360
9559,2771
9560,3607
9561,3398
9562,6055
9564,3875
9565,8982
9567,7290
9568,11878
9569,9698
9571,10094
9573,5527
9574,2687
9576,3870
9577,7560
9578,7942
9579,2459
9581,5814
9582,2872
9583,7386
9584,3836
9585,12607
9586,3048
9587,2930
9588,4963
9589,3300
9590,9391
9591,6780
9592,4008
9593,7249
9594,5861
9595,3020
9596,15699
9597,3785
9598,6078
9599,7051
9600,3274
9601,3661
9602,2459
9606,2541
9607,5416
9608,2955
9609,3057
9610,5376
9611,5262
9612,5329
9613,4903
9615,5372
9616,5392
9617,2955
9619,2720
9620,2744
9621,2696
9622,6015
9624,3410
9625,6000
9626,5950
9627,6146
9628,6119
9629,5802
9630,5807
9631,3140
9632,3182
9633,3224
9634,3919
9635,3117
9636,3200
9637,3229
9638,3239
9639,3696
9640,2851
9641,2876
9642,2808
9643,2782
9644,6689
9645,6547
9646,7826
9647,4474
9648,6243
9649,7826
9651,8569
9653,6669
9655,7119
9656,4758
9657,5843
9658,7613
9659,7340
9660,7700
9661,6093
9663,7195
9664,8093
9665,8093
9666,8093
9667,8093
9668,8083
9669,8083
9670,8083
9671,8083
9672,8083
9673,8083
9676,8083
9677,8083
9678,8083
9679,8322
9680,8322
9681,8322
9682,8322
9683,8322
9684,8322
9685,8322
9686,8322
9687,8322
9689,8322
9690,8322
9691,8322
9692,8322
9693,8322
9694,8322
9695,8322
9696,8322
9697,5094
9698,4406
9699,3777
9700,4925
9701,4879
9703,4101
9704,4101
9705,3684
9706,5795
9707,5456
