,rice_aridity_index
IRIS_313-10821,17940
IRIS_313-10822,22599
IRIS_313-10823,16638
IRIS_313-10824,17538
IRIS_313-10841,17538
IRIS_313-10842,17538
IRIS_313-10844,17538
IRIS_313-10935,21215
IRIS_313-10936,18140
IRIS_313-10937,18771
IRIS_313-10938,18958
IRIS_313-10940,18958
IRIS_313-10941,18958
IRIS_313-10942,22599
IRIS_313-10943,16111
IRIS_313-10944,21950
IRIS_313-10945,17538
IRIS_313-10946,17538
IRIS_313-10950,17538
IRIS_313-10951,21215
IRIS_313-10952,18140
IRIS_313-10953,18540
IRIS_313-10954,21532
IRIS_313-10955,17490
IRIS_313-10956,21215
IRIS_313-10957,18140
IRIS_313-10958,18140
IRIS_313-10959,17538
IRIS_313-10960,16638
IRIS_313-10961,16638
IRIS_313-10962,16638
IRIS_313-10995,17490
IRIS_313-10996,11706
IRIS_313-10997,17538
IRIS_313-10998,17538
IRIS_313-10999,0
IRIS_313-11000,17538
IRIS_313-11001,11990
IRIS_313-11003,11757
IRIS_313-11004,11757
IRIS_313-11005,12974
IRIS_313-11006,12974
IRIS_313-11007,12115
IRIS_313-11008,11725
IRIS_313-11009,16674
IRIS_313-11010,10409
IRIS_313-11011,17538
IRIS_313-11012,17538
IRIS_313-11117,14664
IRIS_313-11162,12943
IRIS_313-11177,12714
IRIS_313-11178,22599
IRIS_313-11179,21215
IRIS_313-11180,22599
IRIS_313-11181,21215
IRIS_313-11182,17538
IRIS_313-11183,9569
IRIS_313-11311,13436
IRIS_313-11312,23187
IRIS_313-11313,18140
IRIS_313-11314,23187
IRIS_313-11315,18140
IRIS_313-11316,23187
IRIS_313-11317,21215
IRIS_313-11318,16674
IRIS_313-11319,16819
IRIS_313-11320,17091
IRIS_313-11394,9569
IRIS_313-11395,9569
IRIS_313-11397,10056
IRIS_313-11398,8623
IRIS_313-11495,8814
IRIS_313-11496,7901
IRIS_313-11497,8570
IRIS_313-11498,5374
IRIS_313-11499,8332
IRIS_313-11500,8494
IRIS_313-11717,21022
IRIS_313-11970,17490
IRIS_313-11971,19937
IRIS_313-12027,17700
IRIS_313-12045,25225
IRIS_313-12046,25225
IRIS_313-12047,0
IRIS_313-12048,0
IRIS_313-12068,25225
IRIS_313-12069,22937
IRIS_313-7883,9478
IRIS_313-7885,13436
IRIS_313-8291,13925
IRIS_313-8314,17940
IRIS_313-8324,17538
IRIS_313-8368,17940
IRIS_313-8436,16638
IRIS_313-8457,20067
IRIS_313-8493,19220
IRIS_313-8536,23187
IRIS_313-8608,21022
IRIS_313-8643,20566
IRIS_313-8664,22198
IRIS_313-8713,21022
IRIS_313-8725,10068
IRIS_313-8744,17940
IRIS_313-8767,13925
IRIS_313-8812,8361
IRIS_313-8831,15872
IRIS_313-8833,21215
IRIS_313-8865,14083
IRIS_313-8922,18140
IRIS_313-8956,17538
IRIS_313-8978,15819
IRIS_313-8998,21078
IRIS_313-9005,17538
IRIS_313-9054,18958
IRIS_313-9097,11600
IRIS_313-9098,20826
IRIS_313-9117,16370
IRIS_313-9129,17538
IRIS_313-9188,22042
IRIS_313-9208,22599
IRIS_313-9239,17091
IRIS_313-9242,20566
IRIS_313-9251,23187
IRIS_313-9273,17538
IRIS_313-9301,8494
IRIS_313-9310,20826
IRIS_313-9314,16674
IRIS_313-9320,17538
IRIS_313-9405,13436
