Variable,PC,loading,species,bio_name,bio_label
BIO18,PC1,-0.128601420607943,barley,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO18,PC2,0.323907562511693,barley,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO18,PC3,0.250480446176858,barley,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO19,PC1,-0.21275856461147,barley,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC2,-0.0494826340389127,barley,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO19,PC3,-0.30182420382474,barley,Precipitation of Coldest Quarter,BIO19  Precipitation of Coldest Quarter
BIO01,PC1,-0.289359842776695,maize,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC2,0.247001921882824,maize,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO01,PC3,-0.0739432891979297,maize,Annual Mean Temperature,BIO01  Annual Mean Temperature
BIO02,PC1,0.259811999317018,maize,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC2,0.195683243395943,maize,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO02,PC3,0.0282436480070451,maize,Mean Diurnal Range,BIO02  Mean Diurnal Range
BIO03,PC1,-0.103693461141996,maize,Isothermality,BIO03  Isothermality
BIO03,PC2,-0.00308664543691963,maize,Isothermality,BIO03  Isothermality
BIO03,PC3,0.465705136205255,maize,Isothermality,BIO03  Isothermality
BIO04,PC1,0.144157027542726,maize,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC2,0.0875262022722203,maize,Temperature Seasonality,BIO04  Temperature Seasonality
BIO04,PC3,-0.454368382194375,maize,Temperature Seasonality,BIO04  Temperature Seasonality
BIO05,PC1,-0.144303714636081,maize,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC2,0.394945422552911,maize,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO05,PC3,-0.230990628999029,maize,Max Temperature of Warmest Month,BIO05  Max Temperature of Warmest Month
BIO06,PC1,-0.320483772636789,maize,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC2,0.0843654042018487,maize,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO06,PC3,0.0399261853971948,maize,Min Temperature of Coldest Month,BIO06  Min Temperature of Coldest Month
BIO07,PC1,0.257899035392856,maize,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC2,0.176781919805777,maize,Temperature Annual Range,BIO07  Temperature Annual Range
BIO07,PC3,-0.20278114757823,maize,Temperature Annual Range,BIO07  Temperature Annual Range
BIO08,PC1,-0.230602708538982,maize,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC2,0.31449760554616,maize,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO08,PC3,-0.178402218243,maize,Mean Temperature of Wettest Quarter,BIO08  Mean Temperature of Wettest Quarter
BIO09,PC1,-0.288475356917204,maize,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC2,0.204878685034522,maize,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO09,PC3,-0.0130978905711898,maize,Mean Temperature of Driest Quarter,BIO09  Mean Temperature of Driest Quarter
BIO10,PC1,-0.24208377080471,maize,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO10,PC2,0.280876167351838,maize,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO10,PC3,-0.240469794829605,maize,Mean Temperature of Warmest Quarter,BIO10  Mean Temperature of Warmest Quarter
BIO11,PC1,-0.302011742785857,maize,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO11,PC2,0.183704303684849,maize,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO11,PC3,0.0843257380592075,maize,Mean Temperature of Coldest Quarter,BIO11  Mean Temperature of Coldest Quarter
BIO12,PC1,-0.277438564553014,maize,Annual Precipitation,BIO12  Annual Precipitation
BIO12,PC2,-0.220984395069259,maize,Annual Precipitation,BIO12  Annual Precipitation
BIO12,PC3,0.0469013590147436,maize,Annual Precipitation,BIO12  Annual Precipitation
BIO13,PC1,-0.241883553861027,maize,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO13,PC2,-0.0545174513852435,maize,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO13,PC3,0.207475826110274,maize,Precipitation of Wettest Month,BIO13  Precipitation of Wettest Month
BIO14,PC1,-0.150606680362416,maize,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO14,PC2,-0.335408236861996,maize,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO14,PC3,-0.302495584596053,maize,Precipitation of Driest Month,BIO14  Precipitation of Driest Month
BIO15,PC1,0.127059586093859,maize,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO15,PC2,0.32505931294981,maize,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO15,PC3,0.298909596912777,maize,Precipitation Seasonality,BIO15  Precipitation Seasonality
BIO16,PC1,-0.241678422299228,maize,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO16,PC2,-0.057770957978834,maize,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO16,PC3,0.224444422263977,maize,Precipitation of Wettest Quarter,BIO16  Precipitation of Wettest Quarter
BIO17,PC1,-0.159818667494498,maize,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO17,PC2,-0.332234860822251,maize,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO17,PC3,-0.30090598406906,maize,Precipitation of Driest Quarter,BIO17  Precipitation of Driest Quarter
BIO18,PC1,-0.189733833277004,maize,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
BIO18,PC2,-0.0984385088304883,maize,Precipitation of Warmest Quarter,BIO18  Precipitation of Warmest Quarter
