"Lines","Long","Lat","crop","elevation_m"
"1552",18.3667,63.0833,"arabidopsis",113
"1612",-86.583,41.9,"arabidopsis",196
"1622",-86.583,41.9,"arabidopsis",196
"1651",-86.4045,43.3431,"arabidopsis",195
"1652",-86.4045,43.3431,"arabidopsis",195
"1676",-86.607,41.879,"arabidopsis",196
"1684",-86.607,41.879,"arabidopsis",196
"1739",-85.398,42.405,"arabidopsis",287
"1741",-85.398,42.405,"arabidopsis",287
"1756",-86.358,42.184,"arabidopsis",196
"1757",-86.358,42.184,"arabidopsis",196
"1793",-86.67,41.847,"arabidopsis",197
"1797",-86.67,41.847,"arabidopsis",197
"1819",-86.67,41.8,"arabidopsis",197
"1820",-86.67,41.8,"arabidopsis",197
"1829",-86.509,42.051,"arabidopsis",188
"1834",-86.509,42.051,"arabidopsis",188
"1835",-86.509,42.051,"arabidopsis",188
"1851",-86.2657,43.595,"arabidopsis",263
"1852",-86.2657,43.595,"arabidopsis",263
"1853",-86.2657,43.595,"arabidopsis",263
"1872",-86.2657,43.595,"arabidopsis",263
"1890",-86.1859,43.5139,"arabidopsis",218
"1925",-86.1843,43.5251,"arabidopsis",218
"1942",-86.1843,43.5251,"arabidopsis",218
"1943",-86.1843,43.5251,"arabidopsis",218
"1954",-86.1739,43.5187,"arabidopsis",218
"2016",-86.1788,43.5356,"arabidopsis",218
"2017",-86.1788,43.5356,"arabidopsis",218
"2031",-86.412,42.166,"arabidopsis",196
"2053",-86.412,42.166,"arabidopsis",196
"2057",-86.412,42.166,"arabidopsis",196
"2081",-86.3368,43.2483,"arabidopsis",185
"2091",-86.3368,43.2483,"arabidopsis",185
"2106",-86.0891,43.2749,"arabidopsis",205
"2108",-86.0891,43.2749,"arabidopsis",205
"2141",-86.0891,43.2749,"arabidopsis",205
"2159",-86.431,42.148,"arabidopsis",179
"2166",-86.431,42.148,"arabidopsis",179
"2171",-86.431,42.148,"arabidopsis",179
"2191",-86.3929,43.7623,"arabidopsis",198
"2202",-86.3929,43.7623,"arabidopsis",198
"2212",-86.3929,43.7623,"arabidopsis",198
"2239",-86.382,42.184,"arabidopsis",196
"2240",-86.382,42.184,"arabidopsis",196
"2276",-86.496,43.665,"arabidopsis",202
"2278",-86.496,43.665,"arabidopsis",202
"2285",-86.496,43.665,"arabidopsis",202
"2286",-86.496,43.665,"arabidopsis",202
"2317",-86.514,42.03,"arabidopsis",195
"2370",-86.646,41.865,"arabidopsis",184
"2412",-86.646,41.865,"arabidopsis",184
"4779",-4.9,50.4,"arabidopsis",104
"4807",-4.9,50.4,"arabidopsis",104
"4826",-4.9,50.4,"arabidopsis",104
"4840",-4.9,50.4,"arabidopsis",104
"4857",-4.9,50.3,"arabidopsis",48
"4884",-4.9,50.3,"arabidopsis",48
"4900",-4.8,50.3,"arabidopsis",19
"4939",-4.7,50.4,"arabidopsis",112
"4958",-4.5,50.5,"arabidopsis",233
"5023",0.5,51.3,"arabidopsis",59
"5104",0.5,51.3,"arabidopsis",59
"5151",-1.7,52.2,"arabidopsis",65
"5165",0.4,51.3,"arabidopsis",54
"5210",0.3,51.2,"arabidopsis",80
"5236",0.4,51.2,"arabidopsis",28
"5249",0.3,51.2,"arabidopsis",80
"5253",0.6,51.1,"arabidopsis",30
"5276",1.1,51.3,"arabidopsis",24
"5279",1.1,51.3,"arabidopsis",24
"5349",0.4,51.1,"arabidopsis",73
"5353",-3,54.5,"arabidopsis",304
"5395",-3,54.4,"arabidopsis",173
"5486",-3.3,54.6,"arabidopsis",269
"5577",-3.4,54.7,"arabidopsis",106
"5644",-2.9,54.4,"arabidopsis",145
"5651",-2.9,54.4,"arabidopsis",145
"5717",-3.2,54.6,"arabidopsis",334
"5718",-3.4,57,"arabidopsis",578
"5720",-1.6,53.3,"arabidopsis",246
"5726",1.1,51.3,"arabidopsis",24
"5741",-4.1,56.6,"arabidopsis",593
"5748",-4.4,56,"arabidopsis",120
"5757",-2.3,54.6,"arabidopsis",404
"5768",-1.5,54.1,"arabidopsis",39
"5772",-2.3,54.1,"arabidopsis",282
"5776",-1.3,52.9,"arabidopsis",40
"5779",-3.1,51,"arabidopsis",110
"5784",-5.2,56.4,"arabidopsis",177
"5798",-3.3,53.1,"arabidopsis",111
"5800",-5.5,57.4,"arabidopsis",294
"5811",-3.1,52.9,"arabidopsis",249
"5822",-5.98333,56.7333,"arabidopsis",140
"5830",15.9807762,56.3130014,"arabidopsis",29
"5831",15.9807762,56.3130014,"arabidopsis",29
"5832",15.9807762,56.3130014,"arabidopsis",29
"5836",13.51,55.86,"arabidopsis",90
"5837",16.2326,49.4013,"arabidopsis",512
"5856",17.4849587,63.0091989,"arabidopsis",191
"5860",18.0141098,62.6827735,"arabidopsis",17
"5865",14.1231006,55.7565106,"arabidopsis",89
"5867",14.1220385,55.7570661,"arabidopsis",89
"5874",16.2815,49.4112,"arabidopsis",512
"5890",16.2815,49.4112,"arabidopsis",512
"5893",16.2815,49.4112,"arabidopsis",512
"5907",16.2815,49.4112,"arabidopsis",512
"5921",16.2815,49.4112,"arabidopsis",512
"5950",16.2815,49.4112,"arabidopsis",512
"5984",16.2815,49.4112,"arabidopsis",512
"5993",16.2815,49.4112,"arabidopsis",512
"6008",16.2,49.1,"arabidopsis",342
"6009",18.1749827,62.8759855,"arabidopsis",66
"6010",18.1749827,62.8759855,"arabidopsis",66
"6011",18.1749827,62.8759855,"arabidopsis",66
"6012",18.1749827,62.8759855,"arabidopsis",66
"6013",18.1749827,62.8759855,"arabidopsis",66
"6016",18.4045,62.9147,"arabidopsis",42
"6017",18.4045,62.9147,"arabidopsis",42
"6019",14.2786489,56.0617671,"arabidopsis",18
"6020",14.2786489,56.0617671,"arabidopsis",18
"6021",14.281492,56.068008,"arabidopsis",18
"6022",14.281492,56.068008,"arabidopsis",18
"6023",13.3720798,55.7501271,"arabidopsis",43
"6024",13.3720798,55.7501271,"arabidopsis",43
"6025",17.7311,62.6381,"arabidopsis",126
"6030",18.1896,62.806,"arabidopsis",9
"6034",13.7453108,56.0755241,"arabidopsis",91
"6035",13.7453108,56.0755241,"arabidopsis",91
"6036",13.7249024,56.1045244,"arabidopsis",91
"6038",13.7249024,56.1045244,"arabidopsis",91
"6039",13.7296953,56.1132251,"arabidopsis",91
"6040",13.4,55.66,"arabidopsis",47
"6041",14.7427433,56.0089259,"arabidopsis",2
"6042",13.8561835,56.0964877,"arabidopsis",83
"6043",18.075722,62.8003225,"arabidopsis",15
"6046",18.075722,62.8003225,"arabidopsis",15
"6064",18.2763,62.9513,"arabidopsis",32
"6069",18.2763,62.95681,"arabidopsis",32
"6070",18.339997,62.956806,"arabidopsis",32
"6071",18.339997,62.956806,"arabidopsis",32
"6073",15.7779722,56.1460908,"arabidopsis",33
"6074",16.1301702,56.4573992,"arabidopsis",3
"6076",13.4354695,55.7170459,"arabidopsis",43
"6077",13.4354695,55.7170459,"arabidopsis",43
"6085",13.2155403,55.709434,"arabidopsis",40
"6086",11.2,58.9,"arabidopsis",14
"6087",16.1302444,56.465642,"arabidopsis",3
"6088",16.1302444,56.465642,"arabidopsis",3
"6090",13.2197,55.6525,"arabidopsis",23
"6091",13.215,55.6525,"arabidopsis",23
"6092",13.2233,55.6514,"arabidopsis",23
"6094",13.2147,55.6494,"arabidopsis",23
"6095",13.2161,55.6486,"arabidopsis",23
"6096",13.2225,55.6472,"arabidopsis",23
"6097",13.2264,55.6481,"arabidopsis",23
"6098",13.2178,55.6561,"arabidopsis",23
"6099",13.2193742,55.6532394,"arabidopsis",23
"6100",13.2226591,55.6465188,"arabidopsis",23
"6101",13.2199068,55.6465188,"arabidopsis",23
"6102",13.2240307,55.6484554,"arabidopsis",23
"6104",13.2078964,55.6995163,"arabidopsis",40
"6105",13.1166475,55.7912838,"arabidopsis",29
"6106",13.1151131,55.7892517,"arabidopsis",29
"6107",13.1172969,55.789833,"arabidopsis",29
"6108",13.1162548,55.7925311,"arabidopsis",29
"6109",13.1113481,55.7895346,"arabidopsis",29
"6111",13.1104309,55.7928025,"arabidopsis",29
"6112",13.09336,55.7908676,"arabidopsis",29
"6113",13.0996565,55.7976997,"arabidopsis",29
"6114",13.1296295,55.7990936,"arabidopsis",29
"6115",13.1326552,55.7932875,"arabidopsis",29
"6118",13.1745511,55.7138306,"arabidopsis",40
"6119",13.1729204,55.7034097,"arabidopsis",40
"6122",13.2954193,55.8350143,"arabidopsis",55
"6123",13.2986651,55.8351287,"arabidopsis",55
"6124",13.2995709,55.8362185,"arabidopsis",55
"6125",13.2984818,55.8371341,"arabidopsis",55
"6126",13.3002261,55.8379372,"arabidopsis",55
"6128",13.2881,55.8397,"arabidopsis",55
"6131",13.3181,55.8369,"arabidopsis",55
"6132",13.3186,55.8386,"arabidopsis",55
"6133",13.2995693,55.8422437,"arabidopsis",55
"6134",13.2906,55.8383,"arabidopsis",55
"6136",13.5519,55.9336,"arabidopsis",87
"6137",13.5603,55.9419,"arabidopsis",87
"6138",13.5511,55.9403,"arabidopsis",87
"6140",13.5539,55.9392,"arabidopsis",87
"6141",13.5542,55.9414,"arabidopsis",87
"6142",13.5558,55.9428,"arabidopsis",87
"6145",13.5533,55.9497,"arabidopsis",87
"6148",13.5508,55.9319,"arabidopsis",87
"6149",13.5481,55.9281,"arabidopsis",87
"6150",13.5319,55.9261,"arabidopsis",87
"6151",13.2244,55.6528,"arabidopsis",23
"6153",17.7311,62.6381,"arabidopsis",126
"6154",17.7311,62.6381,"arabidopsis",126
"6163",17.7311,62.6381,"arabidopsis",126
"6166",17.7311,62.6381,"arabidopsis",126
"6169",18.336,62.8622,"arabidopsis",6
"6172",18.336,62.8622,"arabidopsis",6
"6173",18.336,62.8622,"arabidopsis",6
"6174",17.6771,62.6252,"arabidopsis",152
"6177",17.6771,62.6252,"arabidopsis",152
"6180",17.6771,62.6252,"arabidopsis",152
"6184",18.4473,62.8794,"arabidopsis",42
"6188",14.1328223,55.758856,"arabidopsis",89
"6189",14.1328223,55.758856,"arabidopsis",89
"6191",14.1328223,55.758856,"arabidopsis",89
"6192",14.1328223,55.758856,"arabidopsis",89
"6193",14.1328223,55.758856,"arabidopsis",89
"6194",14.1328223,55.758856,"arabidopsis",89
"6195",14.1328223,55.758856,"arabidopsis",89
"6198",14.1225226,55.7567793,"arabidopsis",89
"6201",14.1225226,55.7567793,"arabidopsis",89
"6202",14.1225226,55.7567793,"arabidopsis",89
"6203",14.1225226,55.7567793,"arabidopsis",89
"6209",18.1749827,62.8759855,"arabidopsis",66
"6210",18.1749827,62.8759855,"arabidopsis",66
"6214",18.3174,63.0165,"arabidopsis",44
"6216",18.3174,63.0165,"arabidopsis",44
"6217",18.3174,63.0165,"arabidopsis",44
"6218",18.3174,63.0165,"arabidopsis",44
"6220",18.1896,62.806,"arabidopsis",9
"6221",18.1896,62.806,"arabidopsis",9
"6231",18.2763,62.9513,"arabidopsis",32
"6235",18.339997,62.956806,"arabidopsis",32
"6237",18.339997,62.956806,"arabidopsis",32
"6238",18.339997,62.956806,"arabidopsis",32
"6240",18.339997,62.956806,"arabidopsis",32
"6241",18.339997,62.956806,"arabidopsis",32
"6242",13.1960732,55.7060213,"arabidopsis",40
"6243",13.85,55.95,"arabidopsis",146
"6244",18.4728,62.9169,"arabidopsis",8
"6252",14.3336,55.5796,"arabidopsis",30
"6255",14.3336,55.5796,"arabidopsis",30
"6258",14.3336,55.5796,"arabidopsis",30
"6268",14.3336,55.5796,"arabidopsis",30
"6276",14.3336,55.5796,"arabidopsis",30
"6284",14.3336,55.5796,"arabidopsis",30
"6296",16.6314,49.2771,"arabidopsis",382
"6390",16.6314,49.2771,"arabidopsis",382
"6396",16.6314,49.2771,"arabidopsis",382
"6413",13.9583592,56.0630848,"arabidopsis",55
"6424",16.2544,49.3853,"arabidopsis",512
"6434",16.2544,49.3853,"arabidopsis",512
"6445",16.2544,49.3853,"arabidopsis",512
"6680",6.4333,51.85,"arabidopsis",16
"6739",-73.4675,40.8585,"arabidopsis",54
"6740",-73.4675,40.8585,"arabidopsis",54
"6744",-73.4675,40.8585,"arabidopsis",54
"6749",-76.5072,42.4489,"arabidopsis",281
"6750",-76.5072,42.4489,"arabidopsis",281
"6805",-71.0627,42.373,"arabidopsis",10
"6806",-71.0627,42.373,"arabidopsis",10
"6814",-86.621,41.2816,"arabidopsis",214
"6830",73.1,49.5,"arabidopsis",628
"6897",1.3,45,"arabidopsis",238
"6898",4.4,51.2167,"arabidopsis",5
"6900",18.4840729,63.322186,"arabidopsis",56
"6901",18.4840729,63.322186,"arabidopsis",56
"6903",16.2326,49.4013,"arabidopsis",512
"6904",16.6166,49.2,"arabidopsis",247
"6907",-0.6383,51.4083,"arabidopsis",57
"6908",-0.6383,51.4083,"arabidopsis",57
"6909",-92.3,38.3,"arabidopsis",211
"6911",-23.6167,15.1111,"arabidopsis",240
"6913",18.1749827,62.8759855,"arabidopsis",66
"6915",6.3,50.3,"arabidopsis",506
"6917",18.3174,63.0165,"arabidopsis",44
"6918",18.3174,63.0165,"arabidopsis",44
"6919",8,50.3,"arabidopsis",320
"6920",9.9355,51.5338,"arabidopsis",204
"6922",8,50.3,"arabidopsis",320
"6923",-0.6383,51.4083,"arabidopsis",57
"6924",-0.6383,51.4083,"arabidopsis",57
"6926",-85.37,44.46,"arabidopsis",356
"6927",-86.621,41.2816,"arabidopsis",214
"6929",68.49,38.48,"arabidopsis",957
"6931",73.1,49.5,"arabidopsis",628
"6932",15.2369,52.7325,"arabidopsis",48
"6933",2.49,41.59,"arabidopsis",50
"6938",37.6322,55.7522,"arabidopsis",141
"6940",8.3,50.3,"arabidopsis",309
"6943",-0.6383,51.4083,"arabidopsis",57
"6944",-0.6383,51.4083,"arabidopsis",57
"6945",4.45,52.24,"arabidopsis",0
"6951",16.36,49.42,"arabidopsis",519
"6956",16.36,49.42,"arabidopsis",519
"6957",16.36,49.42,"arabidopsis",519
"6958",3.3,46,"arabidopsis",348
"6959",-1.41,48.5,"arabidopsis",105
"6960",-1.41,48.5,"arabidopsis",105
"6961",-3.53333,38.3333,"arabidopsis",628
"6963",68.48,38.35,"arabidopsis",1018
"6966",-0.6383,51.4083,"arabidopsis",57
"6967",-0.6383,51.4083,"arabidopsis",57
"6968",23.5,60,"arabidopsis",30
"6969",23.5,60,"arabidopsis",30
"6970",2.93056,41.7194,"arabidopsis",61
"6971",2.93056,41.7194,"arabidopsis",61
"6973",13.9707,56.0648,"arabidopsis",55
"6974",13.9707,56.0648,"arabidopsis",55
"6975",14.45,48.3,"arabidopsis",312
"6976",14.45,48.3,"arabidopsis",312
"6979",8.26,47.25,"arabidopsis",591
"6981",30,52.3,"arabidopsis",138
"6982",9.3,52.3,"arabidopsis",106
"6984",16.2544,49.3853,"arabidopsis",512
"6986",-2.2207,57.1539,"arabidopsis",92
"6987",7.62551,48.0683,"arabidopsis",194
"6989",-2.4333,54.8,"arabidopsis",403
"6990",5.73,53.448,"arabidopsis",0
"6992",5.3,50.3,"arabidopsis",252
"6997",5.5833,51.8333,"arabidopsis",5
"7000",9.57073,50.9167,"arabidopsis",383
"7002",6.1,51.3333,"arabidopsis",26
"7003",7.5,47.5,"arabidopsis",482
"7008",5.675,52,"arabidopsis",8
"7013",13.287,52.4584,"arabidopsis",42
"7014",-4.79821,56.5459,"arabidopsis",359
"7025",11.3396,44.5041,"arabidopsis",69
"7026",-3.2667,54.4,"arabidopsis",234
"7028",9.3166,49.5166,"arabidopsis",394
"7031",8.6667,50.0167,"arabidopsis",130
"7033",-122.755,41.3599,"arabidopsis",1182
"7036",9.5,50.5,"arabidopsis",392
"7058",-9.0755556,53.87,"arabidopsis",56
"7061",-1.64293,53.2699,"arabidopsis",293
"7062",8.26607,50.2981,"arabidopsis",309
"7063",-13.4811,29.2144,"arabidopsis",7
"7064",1.1,51.3,"arabidopsis",24
"7067",15.09,37.51,"arabidopsis",25
"7068",12.1,42,"arabidopsis",104
"7071",1.33867,48.0717,"arabidopsis",135
"7072",34.7361,53.7502,"arabidopsis",195
"7077",-8.25,40.12,"arabidopsis",335
"7081",-8.42639,40.2077,"arabidopsis",127
"7092",2.823,49.416,"arabidopsis",66
"7094",8.65081,49.8724,"arabidopsis",142
"7096",5.04278,47.3239,"arabidopsis",312
"7102",8.2372,50.7224,"arabidopsis",427
"7103",16.2667,49.4167,"arabidopsis",512
"7106",13.7336,51.051,"arabidopsis",145
"7107",-1.5733,54.7761,"arabidopsis",91
"7109",0.5,51.3,"arabidopsis",59
"7111",-3.16028,55.9494,"arabidopsis",69
"7117",9.68253,51.5105,"arabidopsis",264
"7119",8.5,50,"arabidopsis",95
"7120",8.5,50,"arabidopsis",95
"7125",11.0087,49.5955,"arabidopsis",293
"7126",24.5682,60.1997,"arabidopsis",47
"7127",24.9871,58.6656,"arabidopsis",50
"7130",2.56481,44.6447,"arabidopsis",583
"7133",8.6822,50.1102,"arabidopsis",118
"7138",8.0167,50.5,"arabidopsis",330
"7143",5.86667,51.0167,"arabidopsis",64
"7147",8.67825,50.584,"arabidopsis",215
"7158",15.5,47,"arabidopsis",371
"7160",-85.2532,43.178,"arabidopsis",264
"7161",10.5,53.5,"arabidopsis",46
"7162",9.44,52.24,"arabidopsis",165
"7163",9.73569,52.3721,"arabidopsis",55
"7164",12.5686,55.675,"arabidopsis",3
"7165",8.28844,51.3472,"arabidopsis",417
"7169",9.88682,54.4175,"arabidopsis",14
"7177",15,49,"arabidopsis",549
"7181",11.587,50.927,"arabidopsis",310
"7183",77,35,"arabidopsis",5210
"7186",23.8924,54.8969,"arabidopsis",69
"7192",-5.66364,55.6395,"arabidopsis",75
"7199",6.9666,50.95,"arabidopsis",52
"7202",8.50861,50.1797,"arabidopsis",364
"7203",11.5722,49.631,"arabidopsis",467
"7207",135.752,35.0085,"arabidopsis",75
"7208",-3.78181,55.6739,"arabidopsis",231
"7209",15.2333,52.7333,"arabidopsis",48
"7213",15.2369,52.7325,"arabidopsis",48
"7217",0.5,48,"arabidopsis",114
"7218",4.49015,52.1611,"arabidopsis",0
"7223",8.0666,50.3833,"arabidopsis",206
"7231",8.0666,50.3833,"arabidopsis",206
"7244",8.26664,50.001,"arabidopsis",127
"7248",-70.6652,41.3923,"arabidopsis",13
"7250",10.1138,51.9183,"arabidopsis",168
"7255",20.5,50.95,"arabidopsis",284
"7258",8.5,50.5,"arabidopsis",234
"7268",10.981,52.6969,"arabidopsis",58
"7276",8.5833,50.2,"arabidopsis",186
"7280",8.2,53.1667,"arabidopsis",6
"7282",8.01161,50.3827,"arabidopsis",220
"7287",8.42255,53.3422,"arabidopsis",0
"7288",6.193019,60.385543,"arabidopsis",337
"7296",29,59,"arabidopsis",60
"7298",10.51,47.04,"arabidopsis",2225
"7305",10.6065,53.476,"arabidopsis",34
"7306",-123.206,49.2655,"arabidopsis",0
"7307",-2.96591,48.0653,"arabidopsis",108
"7314",-3.41697,54.3512,"arabidopsis",66
"7316",5.56667,51.9667,"arabidopsis",7
"7319",12.1,42,"arabidopsis",104
"7320",1.09849,49.4424,"arabidopsis",110
"7322",34,56.3,"arabidopsis",202
"7323",38.28,49,"arabidopsis",109
"7327",3.03333,41.7833,"arabidopsis",128
"7328",3.03333,41.7833,"arabidopsis",128
"7332",-122.2,47,"arabidopsis",222
"7333",11.5614,46.5438,"arabidopsis",1209
"7337",8.02341,50.8738,"arabidopsis",341
"7342",-3.00733,53.6473,"arabidopsis",2
"7343",13.181,52.5339,"arabidopsis",42
"7344",9.5,47.6667,"arabidopsis",412
"7346",11.8558,52.6058,"arabidopsis",35
"7347",36,52,"arabidopsis",232
"7349",14.5,49.5,"arabidopsis",589
"7350",-122.459,47.2413,"arabidopsis",89
"7353",4.3,52.08,"arabidopsis",1
"7354",14.9,56.5,"arabidopsis",146
"7356",-83.5553,41.6639,"arabidopsis",187
"7358",-83.5553,41.6639,"arabidopsis",187
"7359",-83.5553,41.6639,"arabidopsis",187
"7372",9.9042,47.0748,"arabidopsis",1231
"7373",136.31,34.43,"arabidopsis",380
"7377",-85.2563,43.2708,"arabidopsis",270
"7378",7.7667,48.0333,"arabidopsis",220
"7382",5.1145,52.0918,"arabidopsis",1
"7383",-123.206,49.2655,"arabidopsis",0
"7384",5.55,52.0333,"arabidopsis",8
"7387",-2.3671,54.9902,"arabidopsis",255
"7394",21,52.3,"arabidopsis",87
"7396",30,52.3,"arabidopsis",138
"7404",10.0667,52.6,"arabidopsis",43
"7411",10.8134,47.9299,"arabidopsis",702
"7413",25.3167,54.6833,"arabidopsis",176
"7415",9.9361,49.7878,"arabidopsis",268
"7416",-119.35,37.45,"arabidopsis",1823
"7417",8.55,47.3667,"arabidopsis",454
"7418",8.55,47.3667,"arabidopsis",454
"7419",8.32213,50.3058,"arabidopsis",293
"7424",16.6166,49.2,"arabidopsis",247
"7430",6.25,48.6167,"arabidopsis",239
"7461",15,49,"arabidopsis",549
"7475",-72.677,41.767,"arabidopsis",34
"7477",-71.2825,41.7302,"arabidopsis",13
"7514",-86.4251,41.5609,"arabidopsis",231
"7515",-86.4251,41.5609,"arabidopsis",231
"7516",14.334,55.58,"arabidopsis",30
"7517",14.334,55.58,"arabidopsis",30
"7520",16.81,49.38,"arabidopsis",521
"7521",16.81,49.38,"arabidopsis",521
"7523",-86.3253,42.0945,"arabidopsis",225
"7525",-86.511,42.036,"arabidopsis",195
"7529",-86.5128,42.0333,"arabidopsis",195
"7530",-86.5128,42.0333,"arabidopsis",195
"7566",-86.359,42.093,"arabidopsis",202
"7568",-86.359,42.093,"arabidopsis",202
"7717",-86.625,41.273,"arabidopsis",214
"7757",-86.625,41.273,"arabidopsis",214
"7767",-86.625,41.273,"arabidopsis",214
"7917",-86.3253,42.0945,"arabidopsis",225
"7947",-86.3253,42.0945,"arabidopsis",225
"8037",-86.7368,41.3423,"arabidopsis",205
"8057",-86.7368,41.3423,"arabidopsis",205
"8077",-86.7368,41.3423,"arabidopsis",205
"8132",-86.511,42.036,"arabidopsis",195
"8171",-86.511,42.036,"arabidopsis",195
"8214",2,49,"arabidopsis",76
"8222",14.7427433,56.0089259,"arabidopsis",2
"8227",17.898516,62.7920572,"arabidopsis",54
"8230",16.5,56.68,"arabidopsis",14
"8231",15.9960089,56.3065535,"arabidopsis",3
"8233",-87.1923,41.1876,"arabidopsis",202
"8234",15.9753237,56.3201865,"arabidopsis",37
"8235",17.1,48.8,"arabidopsis",174
"8236",15.76,49.33,"arabidopsis",561
"8237",13.1,55.8,"arabidopsis",29
"8238",0.4,51.15,"arabidopsis",46
"8239",7,51,"arabidopsis",52
"8240",13.196,55.705,"arabidopsis",40
"8241",13.85,55.95,"arabidopsis",146
"8242",15.7832574,56.1510312,"arabidopsis",33
"8243",11.2547,43.7703,"arabidopsis",121
"8244",2.3086,48.6103,"arabidopsis",91
"8246",-79.18,35,"arabidopsis",77
"8247",13.7407939,56.0692873,"arabidopsis",91
"8249",15.8,57.7,"arabidopsis",145
"8256",12.9040338,56.4487477,"arabidopsis",17
"8258",12.9040338,56.4487477,"arabidopsis",17
"8259",12.9040338,56.4487477,"arabidopsis",17
"8264",2.8,41.6833,"arabidopsis",85
"8283",14.1262764,55.7599276,"arabidopsis",89
"8284",16.2815,49.4112,"arabidopsis",512
"8285",16.2815,49.4112,"arabidopsis",512
"8290",8.5,50,"arabidopsis",95
"8297",6.14,46.21,"arabidopsis",424
"8306",13.7134622,56.1035094,"arabidopsis",91
"8307",13.7296953,56.1132251,"arabidopsis",91
"8311",11.5,47.5,"arabidopsis",1387
"8312",7.5,50.5,"arabidopsis",270
"8326",14.7427433,56.0089259,"arabidopsis",2
"8334",13.19,55.72,"arabidopsis",40
"8335",13.2,55.71,"arabidopsis",40
"8337",12.37,44,"arabidopsis",198
"8343",1.5,47.5,"arabidopsis",105
"8351",18.37,60.25,"arabidopsis",12
"8354",56.3167,58,"arabidopsis",168
"8357",2.25,41.5,"arabidopsis",18
"8365",16,49,"arabidopsis",368
"8366",8.5,50.5,"arabidopsis",234
"8369",13.4354695,55.7170459,"arabidopsis",43
"8376",17.997819,62.6897799,"arabidopsis",17
"8386",11.2,58.9,"arabidopsis",14
"8387",18.06,59.34,"arabidopsis",29
"8419",25.3167,54.6833,"arabidopsis",176
"8420",8.5333,50.0667,"arabidopsis",112
"8422",14.2786489,56.0617671,"arabidopsis",18
"8424",77,35,"arabidopsis",5210
"8426",13.9589922,56.0681098,"arabidopsis",55
"8427",13.9707,56.0648,"arabidopsis",55
"8464",-86.8513,41.6862,"arabidopsis",195
"8483",-86.8513,41.6862,"arabidopsis",195
"8699",-86.3253,42.0945,"arabidopsis",225
"8723",-86.3253,42.0945,"arabidopsis",225
"9027",-86.511,42.036,"arabidopsis",195
"9057",13.9167,56.1,"arabidopsis",55
"9058",16.6333,57.75,"arabidopsis",7
"9067",48.7992,38.6536,"arabidopsis",87
"9069",48.7992,38.6536,"arabidopsis",87
"9070",48.7992,38.6536,"arabidopsis",87
"9075",48.6131,38.7406,"arabidopsis",599
"9078",48.6131,38.7406,"arabidopsis",599
"9079",48.5517,38.7833,"arabidopsis",599
