,sb_PC1,sb_PC2,sb_PC3
IS22009.C1AB3ACXX.7.250137705,0.555180707,-4.198575804,-9.941629592
IS22019.C1AB3ACXX.7.250137706,-1.164863117,-0.824422433,-4.781766776
IS22025.C1AB3ACXX.7.250137707,3.380843779,5.751693565,-0.438126578
IS22026.C1AB3ACXX.7.250137708,2.822778803,2.705161576,-3.716594417
IS22040.B064FABXX.1.250009992,-2.348268281,-1.181512095,0.841417086
IS2205.MRG.4.250047657,-2.725975038,1.63392503,-2.093940202
IS2206.C1AB3ACXX.7.250137271,0.399542618,-2.213239607,-5.711348784
IS22074.70MUKAAXX.2.250006006,-1.805395844,-0.71247417,1.410777763
IS22100.C1AB3ACXX.7.250137709,-0.059714761,-1.891489234,-3.414334665
IS22104.C1AB3ACXX.7.250137710,-2.283403923,-1.106957366,0.631922809
IS22193.C1AB3ACXX.7.250137711,1.725066115,-2.0731845,-4.27783675
IS22239.70MUKAAXX.2.250006015,-0.078147341,3.408093241,1.090471106
IS22282.628P7AAXX.7.250007059,-0.050347303,3.349941049,1.197413047
IS22287.628P7AAXX.7.250007083,-0.050347303,3.349941049,1.197413047
IS22291.70MUKAAXX.2.250006026,-0.481374085,3.189680271,1.262764174
IS22294.628P7AAXX.7.250007107,-0.481374085,3.189680271,1.262764174
IS22325.70MUKAAXX.2.250006036,-1.664128942,2.22136509,1.273382034
IS22330.628NVAAXX.5.250006909,-0.103543176,3.477343385,1.311967849
IS22334.628NVAAXX.5.250006933,-1.158704106,3.300051334,1.537448253
IS22598.C1AB3ACXX.7.250137712,1.689799216,-4.292961515,-1.422256156
IS22601.C1AB3ACXX.7.250137713,1.571113301,-3.812885339,-1.062038436
IS22604.C1AB3ACXX.7.250137714,5.357360287,-5.526051096,-3.800499022
IS22608.C1AB3ACXX.7.250137715,0.767889485,-3.344043158,-0.282647901
IS22609.70MUKAAXX.2.250006070,4.059823649,-4.267602551,-2.513773259
IS22615.C1AB3ACXX.7.250137716,-2.049066452,0.136747445,0.173841707
IS22616.MRG.4.250047509,-1.557861371,0.332390244,-0.688129065
IS22618.C1AB3ACXX.7.250137717,1.580002321,1.244849147,-2.449083111
