,barley_PC1,barley_PC2,barley_PC3
BRIDGE_HOR_9712,-1.835485026,-0.369090793,-1.763243945
BRIDGE_HOR_13488_A,-2.963047686,-0.466293252,-1.209611578
BRIDGE_HOR_22164,-2.963047686,-0.466293252,-1.209611578
BRIDGE_HOR_9711,-1.274953974,0.045144143,-2.320659995
BRIDGE_HOR_10630,0.217111017,2.207450007,-2.100685673
BRIDGE_HOR_3953,0.215838987,3.532770048,-1.878734599
BRIDGE_HOR_10094,0.290915352,2.628156644,-2.158103618
BRIDGE_HOR_9852,0.290915352,2.628156644,-2.158103618
BRIDGE_HOR_9853,0.290915352,2.628156644,-2.158103618
BRIDGE_HOR_9854,0.290915352,2.628156644,-2.158103618
BRIDGE_HOR_9256,-1.360626104,-0.691344106,-1.884434963
BRIDGE_HOR_9265,-1.360626104,-0.691344106,-1.884434963
BRIDGE_HOR_9462,-1.360626104,-0.691344106,-1.884434963
BRIDGE_HOR_13487,-2.997237018,-1.609245204,-1.023813938
BRIDGE_HOR_13486,-2.997237018,-1.609245204,-1.023813938
BRIDGE_HOR_9264,-1.094624564,-0.686669616,-2.20102109
BRIDGE_HOR_9308,-1.094624564,-0.686669616,-2.20102109
BRIDGE_HOR_9309,-1.094624564,-0.686669616,-2.20102109
BRIDGE_HOR_9257,-1.135101582,-0.719560642,-1.96258737
BRIDGE_HOR_9267,-1.135101582,-0.719560642,-1.96258737
BRIDGE_HOR_10411,-1.04900692,-0.830766839,-2.047013118
BRIDGE_HOR_10412,-1.04900692,-0.830766839,-2.047013118
BRIDGE_HOR_9268,-1.04900692,-0.830766839,-2.047013118
BRIDGE_HOR_9269,-1.04900692,-0.830766839,-2.047013118
BRIDGE_HOR_9273,-1.135101582,-0.719560642,-1.96258737
BRIDGE_HOR_9310,-1.04900692,-0.830766839,-2.047013118
BRIDGE_HOR_1999,-2.266844793,-2.3802018,0.173943365
BRIDGE_HOR_4280,-2.266844793,-2.3802018,0.173943365
BRIDGE_HOR_9258,-1.04900692,-0.830766839,-2.047013118
BRIDGE_HOR_9270,-1.04900692,-0.830766839,-2.047013118
BRIDGE_HOR_13158,-1.077119287,2.663393897,-3.253369658
BRIDGE_HOR_9274,-1.051221883,-0.76708781,-1.970335333
BRIDGE_HOR_13159,-1.077119287,2.663393897,-3.253369658
BRIDGE_HOR_9704,-1.193877373,-0.410959622,-1.998479052
BRIDGE_HOR_9705,-1.193877373,-0.410959622,-1.998479052
BRIDGE_HOR_2285,-2.332609595,-1.367890503,-1.104330358
BRIDGE_HOR_4579,-2.332609595,-1.367890503,-1.104330358
BRIDGE_HOR_2000,-2.710176246,-0.879612563,-1.459366473
BRIDGE_HOR_2001,-2.332609595,-1.367890503,-1.104330358
BRIDGE_HOR_2004,-2.332609595,-1.367890503,-1.104330358
BRIDGE_HOR_9859,0.063400324,2.522812148,-1.541706241
BRIDGE_HOR_10028,-0.893585592,-0.088374323,-2.3311719
BRIDGE_HOR_10059,-0.893585592,-0.088374323,-2.3311719
BRIDGE_HOR_11478,-1.236483552,-0.807545952,-1.803112643
BRIDGE_HOR_10952,-0.013441305,3.10132958,-1.8354402
BRIDGE_HOR_11479,-1.154658968,-0.504943202,-2.039103756
BRIDGE_HOR_12791,-1.154658968,-0.504943202,-2.039103756
BRIDGE_HOR_9261,-1.259049847,-1.63014027,-1.689002063
