,AT_PC1,AT_PC2,AT_PC3
6122,-0.920783629,-1.597318429,-1.628507847
6123,-0.920783629,-1.597318429,-1.628507847
6124,-0.920783629,-1.597318429,-1.628507847
6125,-0.920783629,-1.597318429,-1.628507847
6126,-0.920783629,-1.597318429,-1.628507847
6128,-0.920783629,-1.597318429,-1.628507847
6131,-0.920783629,-1.597318429,-1.628507847
6132,-0.920783629,-1.597318429,-1.628507847
6133,-0.920783629,-1.597318429,-1.628507847
6134,-0.920783629,-1.597318429,-1.628507847
6136,-0.996894777,-1.588967034,-1.627711279
6137,-0.996894777,-1.588967034,-1.627711279
6138,-0.996894777,-1.588967034,-1.627711279
6140,-0.996894777,-1.588967034,-1.627711279
6141,-0.996894777,-1.588967034,-1.627711279
6142,-0.996894777,-1.588967034,-1.627711279
6145,-0.996894777,-1.588967034,-1.627711279
6148,-0.996894777,-1.588967034,-1.627711279
6149,-0.996894777,-1.588967034,-1.627711279
6150,-0.996894777,-1.588967034,-1.627711279
6151,-0.008697024,-0.85162627,-2.195399019
6153,1.584173612,-2.678532387,-1.379755514
6154,1.584173612,-2.678532387,-1.379755514
6163,1.584173612,-2.678532387,-1.379755514
6166,1.584173612,-2.678532387,-1.379755514
6169,1.046234165,-2.535165999,-1.322789605
6172,1.046234165,-2.535165999,-1.322789605
6173,1.046234165,-2.535165999,-1.322789605
6174,1.584173612,-2.678532387,-1.379755514
6177,1.584173612,-2.678532387,-1.379755514
6180,1.584173612,-2.678532387,-1.379755514
6184,1.046234165,-2.535165999,-1.322789605
6188,-0.69112451,-1.474807475,-1.98960835
6189,-0.69112451,-1.474807475,-1.98960835
6191,-0.69112451,-1.474807475,-1.98960835
6192,-0.69112451,-1.474807475,-1.98960835
6193,-0.69112451,-1.474807475,-1.98960835
6194,-0.69112451,-1.474807475,-1.98960835
6195,-0.69112451,-1.474807475,-1.98960835
6198,-0.69112451,-1.474807475,-1.98960835
6201,-0.69112451,-1.474807475,-1.98960835
6202,-0.69112451,-1.474807475,-1.98960835
6203,-0.69112451,-1.474807475,-1.98960835
6209,1.130859361,-2.600495632,-1.111635761
6210,1.130859361,-2.600495632,-1.111635761
6214,1.258944859,-2.798120333,-1.110962496
6216,1.258944859,-2.798120333,-1.110962496
6217,1.258944859,-2.798120333,-1.110962496
6218,1.258944859,-2.798120333,-1.110962496
6220,0.910523761,-2.507867832,-1.33456046
6221,0.910523761,-2.507867832,-1.33456046
6231,1.130859361,-2.600495632,-1.111635761
6235,1.046234165,-2.535165999,-1.322789605
6237,1.046234165,-2.535165999,-1.322789605
6238,1.046234165,-2.535165999,-1.322789605
6240,1.046234165,-2.535165999,-1.322789605
6241,1.046234165,-2.535165999,-1.322789605
6242,-0.079319424,-0.862683961,-2.030104443
6243,-0.877260532,-1.561344526,-1.81426561
6244,1.046234165,-2.535165999,-1.322789605
6252,-0.018507754,-0.784371273,-2.529092826
6255,-0.018507754,-0.784371273,-2.529092826
6258,-0.018507754,-0.784371273,-2.529092826
6268,-0.018507754,-0.784371273,-2.529092826
6276,-0.018507754,-0.784371273,-2.529092826
6284,-0.018507754,-0.784371273,-2.529092826
6296,1.61327577,0.377176931,-0.509547259
6390,1.61327577,0.377176931,-0.509547259
6396,1.61327577,0.377176931,-0.509547259
6413,-0.351322916,-1.333786823,-1.734581369
6424,1.454573012,-0.310823428,-0.584246282
6434,1.454573012,-0.310823428,-0.584246282
6445,1.454573012,-0.310823428,-0.584246282
6680,-1.06668265,-0.201557671,-1.202823631
6739,-1.537053301,-2.174063896,2.799505888
6740,-1.537053301,-2.174063896,2.799505888
6744,-1.537053301,-2.174063896,2.799505888
6749,1.320883847,-1.765137627,2.731380878
6750,1.320883847,-1.765137627,2.731380878
6805,-1.581770454,-1.657800724,3.091072103
6806,-1.581770454,-1.657800724,3.091072103
6814,1.545931628,-1.049824434,3.825238435
6830,7.646961468,-0.604769953,0.933487388
6897,-2.844334643,0.989241069,0.113822885
6898,-1.816177389,-0.328158557,-1.224517437
6900,1.968916366,-2.493829659,-0.77057034
6901,1.968916366,-2.493829659,-0.77057034
6903,1.454573012,-0.310823428,-0.584246282
6904,1.61327577,0.377176931,-0.509547259
6907,-1.541087483,0.701241993,-2.334228737
6908,-1.541087483,0.701241993,-2.334228737
6909,0.620899938,0.661258796,4.679977957
6911,-3.954750984,10.10560807,-0.943424363
6913,1.130859361,-2.600495632,-1.111635761
6915,-3.374917188,-2.705866317,-0.348806308
6917,1.258944859,-2.798120333,-1.110962496
6918,1.258944859,-2.798120333,-1.110962496
6919,-0.525603558,-0.820795365,-1.019840331
6920,-0.512114021,-0.745116661,-1.116205985
6922,-0.525603558,-0.820795365,-1.019840331
6923,-1.541087483,0.701241993,-2.334228737
6924,-1.541087483,0.701241993,-2.334228737
6926,2.541289258,-1.261464017,2.314306434
6927,1.545931628,-1.049824434,3.825238435
6929,1.890172722,5.925807199,2.153986136
6931,7.646961468,-0.604769953,0.933487388
6932,1.408271884,0.073070335,-1.007487963
