,rice_ph,rice_cec
IRGC_8266,80,189
IRIS_313-10129,80,189
IRIS_313-10177,53,189
IRIS_313-10211,80,189
IRIS_313-10221,53,189
IRIS_313-10228,51,215
IRIS_313-10239,51,215
IRIS_313-10450,80,189
IRIS_313-10453,80,189
IRIS_313-10497,80,189
IRIS_313-10502,80,189
IRIS_313-10503,80,189
IRIS_313-10504,80,189
IRIS_313-10558,80,189
IRIS_313-10559,80,189
IRIS_313-10560,80,189
IRIS_313-10561,80,189
IRIS_313-10562,80,189
IRIS_313-11038,NA,NA
IRIS_313-11522,58,198
IRIS_313-11651,80,189
IRIS_313-11652,80,189
IRIS_313-11653,80,189
IRIS_313-11654,80,189
IRIS_313-11655,80,189
IRIS_313-11744,57,243
IRIS_313-11745,57,243
IRIS_313-11852,NA,NA
IRIS_313-11853,NA,NA
IRIS_313-11947,80,189
IRIS_313-11948,80,189
IRIS_313-11949,80,189
IRIS_313-11950,80,189
IRIS_313-11951,80,189
IRIS_313-11952,80,189
IRIS_313-11953,80,189
IRIS_313-11954,80,189
IRIS_313-11955,80,189
IRIS_313-11965,53,189
IRIS_313-11966,53,189
IRIS_313-11967,53,189
IRIS_313-11968,53,189
IRIS_313-12007,53,189
IRIS_313-12009,53,189
IRIS_313-12010,53,189
IRIS_313-12011,53,189
IRIS_313-12012,53,189
IRIS_313-12059,58,198
IRIS_313-12060,58,198
IRIS_313-12061,58,198
IRIS_313-12273,NA,NA
IRIS_313-12275,51,215
IRIS_313-8380,80,189
IRIS_313-8645,80,189
IRIS_313-9017,80,189
IRIS_313-9204,80,189
IRIS_313-9324,80,189
IRIS_313-9372,80,189
IRIS_313-9469,80,189
IRIS_313-9555,80,189
IRIS_313-9730,57,243
IRIS_313-10614,NA,NA
IRGC_117267,72,283
IRGC_117398,72,283
IRGC_117617,53,167
IRGC_12331,50,203
IRGC_12386,50,203
IRGC_12894,72,283
IRGC_13746,56,177
IRGC_177,72,283
IRGC_32559,72,283
IRGC_32561,72,283
IRGC_34962,63,161
IRGC_3697,72,283
IRGC_42469,53,159
IRGC_46202,72,283
IRGC_46531,72,283
IRGC_46768,72,283
IRGC_53931,72,283
IRGC_5999,72,283
IRGC_6264,72,283
IRGC_6274,72,283
IRGC_6298,72,283
IRGC_6307,72,283
IRGC_6331,72,283
IRGC_72479,72,283
IRGC_74719,64,427
IRGC_74777,74,232
IRGC_77530,60,271
IRGC_7919,72,283
IRGC_8896,72,283
IRGC_9062,72,283
IRGC_9069,72,283
IRGC_9070,72,283
IRGC_9091,72,283
IRGC_9175,72,283
IRGC_9177,72,283
IRGC_9179,72,283
IRIS_313-10150,72,283
IRIS_313-10628,72,283
IRIS_313-10664,56,210
IRIS_313-10666,53,159
IRIS_313-10667,50,203
IRIS_313-10668,50,203
IRIS_313-10670,50,203
IRIS_313-10671,NA,NA
IRIS_313-10673,NA,NA
IRIS_313-10674,NA,NA
IRIS_313-10675,NA,NA
IRIS_313-10676,NA,NA
IRIS_313-10845,NA,NA
IRIS_313-10847,56,210
IRIS_313-10848,51,221
IRIS_313-10849,50,203
IRIS_313-10850,50,203
IRIS_313-10851,50,203
IRIS_313-10852,50,203
IRIS_313-10853,50,203
IRIS_313-10854,50,203
IRIS_313-10855,50,203
IRIS_313-10856,NA,NA
IRIS_313-10857,NA,NA
IRIS_313-10858,NA,NA
IRIS_313-10859,NA,NA
IRIS_313-10861,50,203
IRIS_313-10862,50,203
IRIS_313-10863,57,179
IRIS_313-10864,50,203
IRIS_313-10865,53,210
IRIS_313-10866,53,210
IRIS_313-10867,51,180
IRIS_313-10868,51,180
IRIS_313-10869,52,159
IRIS_313-10870,52,159
IRIS_313-11041,76,304
IRIS_313-11042,75,302
IRIS_313-11164,66,182
IRIS_313-11166,63,161
IRIS_313-11167,NA,NA
IRIS_313-11169,56,197
IRIS_313-11360,72,283
IRIS_313-11371,72,283
IRIS_313-11403,76,304
IRIS_313-11414,72,283
IRIS_313-11442,72,283
IRIS_313-11443,72,283
IRIS_313-11445,70,154
IRIS_313-11446,56,177
IRIS_313-11447,56,177
IRIS_313-11448,NA,NA
