"species","gene","pvalue"
"arabidopsis","AT5G07842",6.888556e-07
"arabidopsis","AT5G07850",6.888556e-07
"arabidopsis","AT5G07860",6.888556e-07
"arabidopsis","AT2G17050",8.48301e-07
"arabidopsis","AT2G17055",8.48301e-07
"arabidopsis","AT2G17060",8.48301e-07
"arabidopsis","AT2G17070",8.48301e-07
"arabidopsis","AT2G17080",8.48301e-07
"arabidopsis","AT2G17090",8.48301e-07
"arabidopsis","AT2G17110",8.48301e-07
"arabidopsis","AT2G17120",8.48301e-07
"arabidopsis","AT2G17130",8.48301e-07
"arabidopsis","AT2G17020",8.736307e-07
"arabidopsis","AT2G17030",8.736307e-07
"arabidopsis","AT2G17033",8.736307e-07
"arabidopsis","AT2G17036",8.736307e-07
"arabidopsis","AT2G17040",8.736307e-07
"arabidopsis","AT2G17043",8.736307e-07
"arabidopsis","AT5G14770",9.252213e-07
"arabidopsis","AT5G14780",9.252213e-07
"arabidopsis","AT5G14790",9.252213e-07
"arabidopsis","AT5G14800",9.252213e-07
"arabidopsis","AT5G14820",9.252213e-07
"arabidopsis","AT5G14850",9.252213e-07
"arabidopsis","AT5G14860",9.252213e-07
"arabidopsis","AT5G14870",9.252213e-07
"arabidopsis","AT5G14880",9.252213e-07
"arabidopsis","AT5G14890",9.252213e-07
"arabidopsis","AT5G14900",9.252213e-07
"arabidopsis","AT4G34265",9.524001e-07
"arabidopsis","AT4G34270",9.524001e-07
"arabidopsis","AT4G34272",9.524001e-07
"arabidopsis","AT4G34280",9.524001e-07
"arabidopsis","AT4G34290",9.524001e-07
"arabidopsis","AT4G34300",9.524001e-07
"arabidopsis","AT4G34310",9.524001e-07
"arabidopsis","AT4G34320",9.524001e-07
"arabidopsis","AT4G34330",9.524001e-07
"arabidopsis","AT4G34332",9.524001e-07
"arabidopsis","AT4G34340",9.524001e-07
"arabidopsis","AT4G34350",9.524001e-07
"arabidopsis","AT4G34360",9.524001e-07
"arabidopsis","AT4G34370",9.524001e-07
"arabidopsis","AT4G34380",9.524001e-07
"arabidopsis","AT4G34390",9.524001e-07
"arabidopsis","AT4G34400",9.524001e-07
"arabidopsis","AT4G34410",9.524001e-07
"arabidopsis","AT4G34412",9.524001e-07
"arabidopsis","AT1G32370",1.00804e-06
"arabidopsis","AT1G32375",1.00804e-06
"arabidopsis","AT1G32380",1.00804e-06
"arabidopsis","AT1G32385",1.00804e-06
"arabidopsis","AT1G32400",1.00804e-06
"arabidopsis","AT1G32410",1.00804e-06
"arabidopsis","AT1G32415",1.00804e-06
"arabidopsis","AT1G32420",1.00804e-06
"arabidopsis","AT1G32430",1.00804e-06
"arabidopsis","AT1G32440",1.00804e-06
"arabidopsis","AT1G32450",1.00804e-06
"arabidopsis","AT5G63930",1.008222e-06
"arabidopsis","AT5G08440",1.033265e-06
"arabidopsis","AT5G08450",1.033265e-06
"arabidopsis","AT5G08460",1.033265e-06
"arabidopsis","AT5G08470",1.033265e-06
"arabidopsis","AT5G08480",1.033265e-06
"arabidopsis","AT5G08490",1.033265e-06
"arabidopsis","AT5G08500",1.033265e-06
"arabidopsis","AT5G08505",1.033265e-06
"arabidopsis","AT5G08510",1.033265e-06
"arabidopsis","AT5G08520",1.033265e-06
"arabidopsis","AT5G08530",1.033265e-06
"arabidopsis","AT5G08535",1.033265e-06
"arabidopsis","AT5G08540",1.033265e-06
"arabidopsis","AT5G08550",1.033265e-06
"arabidopsis","AT5G08560",1.033265e-06
"arabidopsis","AT2G17140",1.114048e-06
"arabidopsis","AT2G17150",1.114048e-06
"arabidopsis","AT2G17160",1.114048e-06
"arabidopsis","AT2G17170",1.114048e-06
"arabidopsis","AT2G17180",1.114048e-06
"arabidopsis","AT2G17190",1.114048e-06
"arabidopsis","AT2G17200",1.114048e-06
"arabidopsis","AT2G17210",1.114048e-06
"arabidopsis","AT2G17220",1.114048e-06
"arabidopsis","AT2G17230",1.114048e-06
"arabidopsis","AT2G17240",1.114048e-06
"arabidopsis","AT2G17250",1.114048e-06
"arabidopsis","AT1G19394",1.120001e-06
"arabidopsis","AT1G19396",1.120001e-06
"arabidopsis","AT1G19397",1.120001e-06
"arabidopsis","AT1G19400",1.120001e-06
"arabidopsis","AT1G19410",1.120001e-06
"arabidopsis","AT1G19430",1.120001e-06
"arabidopsis","AT1G19440",1.120001e-06
"arabidopsis","AT1G19450",1.120001e-06
"arabidopsis","AT1G19460",1.120001e-06
"arabidopsis","AT1G19464",1.120001e-06
"arabidopsis","AT1G19470",1.120001e-06
"arabidopsis","AT1G19480",1.120001e-06
"arabidopsis","AT1G19485",1.120001e-06
"arabidopsis","AT1G19490",1.120001e-06
"arabidopsis","AT1G19500",1.120001e-06
