"Lines","Long","Lat","crop","n_value","log_n"
"PLS13",-15.4333333,14.1833333,"pearl_millet",78,1.89209460269048
"PLS45",-16.2333333,14.2166667,"pearl_millet",102,2.00860017176192
"PLS49",-16.6050944,14.2265278,"pearl_millet",151,2.17897694729317
"PLS48",-16.5775917,14.2271944,"pearl_millet",156,2.19312459835446
"PLS47",-16.75,14.2833306,"pearl_millet",127,2.10380372095596
"PLS14",-15.3,14.2833333,"pearl_millet",61,1.78532983501077
"PLS170",-16.8666667,14.3,"pearl_millet",131,2.11727129565576
"PLS167",-16.7329627,14.302254,"pearl_millet",117,2.06818586174616
"PLS56",-16.7404556,14.3469806,"pearl_millet",134,2.12710479836481
"PLS171",-16.8166667,14.35,"pearl_millet",124,2.09342168516224
"PLS57",-16.7076972,14.3610444,"pearl_millet",123,2.0899051114394
"PLS15",-15.2,14.3666667,"pearl_millet",76,1.88081359228079
"PLS166",-16.7072358,14.389505,"pearl_millet",120,2.07918124604762
"PLS50",-16.6609008,14.3906214,"pearl_millet",102,2.00860017176192
"PLS66",-16.2166667,14.4166667,"pearl_millet",110,2.04139268515822
"PLS224",-16.8,14.4333333,"pearl_millet",123,2.0899051114394
"PLS175",-16.9333333,14.45,"pearl_millet",137,2.13672056715641
"PLS176",-17.01,14.4572222,"pearl_millet",154,2.18752072083646
"PLS174",-16.95,14.4833333,"pearl_millet",137,2.13672056715641
"PLS61",-16.4333333,14.5333333,"pearl_millet",108,2.03342375548695
"PLS177",-17.0636111,14.5402778,"pearl_millet",124,2.09342168516224
"PLS67",-16.2559861,14.5422417,"pearl_millet",88,1.94448267215017
"PLS179",-17.1138889,14.5575,"pearl_millet",140,2.14612803567824
"PLS178",-17.0655556,14.5577778,"pearl_millet",112,2.04921802267018
"PLS197",-17.1255556,14.565,"pearl_millet",NA,NA
"PLS162",-16.6166667,14.5666667,"pearl_millet",112,2.04921802267018
"PLS129",-15.95,14.5666668,"pearl_millet",58,1.76342799356294
"PLS97",-16.15,14.6,"pearl_millet",81,1.90848501887865
"PLS98",-16.2080732,14.6027949,"pearl_millet",89,1.94939000664491
"PLS95",-16.152225,14.6150667,"pearl_millet",79,1.89762709129044
"PLS91",-16.4608167,14.6217833,"pearl_millet",95,1.97772360528885
"PLS90",-16.3946333,14.6261167,"pearl_millet",103,2.01283722470517
"PLS180",-17.1058333,14.6275,"pearl_millet",110,2.04139268515822
"PLS173",-16.7617644,14.6286623,"pearl_millet",102,2.00860017176192
