"Lines","Long","Lat","crop","aridity_index_raw","aridity_index"
"BRIDGE_HOR_12794",9.349166667,40.50138889,"barley",5697,0.5697
"BRIDGE_HOR_11492",9.351944444,39.62416667,"barley",3160,0.316
"BRIDGE_HOR_11493",9.625,39.79638889,"barley",2105,0.2105
"BRIDGE_HOR_12793",9.625,39.79638889,"barley",2105,0.2105
"BRIDGE_HOR_11494",9.7,40.33055556,"barley",0,0
"BRIDGE_HOR_13494",9.783055556,40.58305556,"barley",3054,0.3054
"BRIDGE_HOR_94",10.02527778,46.98805556,"barley",12459,1.2459
"BRIDGE_HOR_10367",10.05,44.2,"barley",10407,1.0407
"BRIDGE_HOR_3964",10.27972222,47.13,"barley",13274,1.3274
"BRIDGE_HOR_11123",10.32166667,45.9425,"barley",7040,0.704
"BRIDGE_HOR_11124",10.32166667,45.9425,"barley",7040,0.704
"BRIDGE_HOR_12411",10.32166667,45.9425,"barley",7040,0.704
"BRIDGE_HOR_12787",10.32166667,45.9425,"barley",7040,0.704
"BRIDGE_HOR_13495_A",10.36361111,51.41972222,"barley",10334,1.0334
"BRIDGE_HOR_13496",10.36361111,51.41972222,"barley",10334,1.0334
"BRIDGE_HOR_22167",10.36361111,51.41972222,"barley",10334,1.0334
"BRIDGE_HOR_11006",10.45,46.64972222,"barley",6202,0.6202
"BRIDGE_HOR_11005",10.53305556,46.76638889,"barley",6459,0.6459
"BRIDGE_HOR_3968",10.83,47.04972222,"barley",15373,1.5373
"BRIDGE_HOR_10949",10.86666667,43.48333333,"barley",6541,0.6541
"BRIDGE_HOR_11003",10.98305556,44.14972222,"barley",11601,1.1601
"BRIDGE_HOR_2348",11.01666667,47.04972222,"barley",18815,1.8815
"BRIDGE_HOR_2346",11.01972222,47.07,"barley",11159,1.1159
"BRIDGE_HOR_11004",11.03305556,44.16638889,"barley",11304,1.1304
"BRIDGE_HOR_2404",11.15,47.17972222,"barley",12033,1.2033
"BRIDGE_HOR_947",11.15,47.17972222,"barley",12033,1.2033
"BRIDGE_HOR_11008",11.36611111,46.86861111,"barley",9317,0.9317
"BRIDGE_HOR_91",11.7075,47.52722222,"barley",14656,1.4656
"BRIDGE_HOR_814",11.7075,47.52722222,"barley",14656,1.4656
"BRIDGE_HOR_12420",11.99833333,36.75138889,"barley",3132,0.3132
"BRIDGE_HOR_10947",12,43.76666667,"barley",12879,1.2879
"BRIDGE_HOR_10948",12.03305556,44.06666667,"barley",7305,0.7305
"BRIDGE_HOR_11114",12.08305556,42.61638889,"barley",3338,0.3338
"BRIDGE_HOR_12721",12.08305556,42.61638889,"barley",3338,0.3338
"BRIDGE_HOR_11009",12.23111111,46.74222222,"barley",10115,1.0115
"BRIDGE_HOR_10682",12.31638889,37.93305556,"barley",3489,0.3489
"BRIDGE_HOR_10683",12.31638889,37.93305556,"barley",3489,0.3489
"BRIDGE_HOR_10946",12.31666667,43.91666667,"barley",7970,0.797
"BRIDGE_HOR_11113",12.33305556,42.56638889,"barley",3198,0.3198
"BRIDGE_HOR_11122",12.33305556,42.56638889,"barley",3198,0.3198
"BRIDGE_HOR_93",12.46638889,47.5,"barley",14187,1.4187
"BRIDGE_HOR_10554",12.5,38.01666667,"barley",0,0
"BRIDGE_HOR_10556",12.5,38.01666667,"barley",0,0
"BRIDGE_HOR_10557",12.5,38.01666667,"barley",0,0
"BRIDGE_HOR_10560",12.5,38.01666667,"barley",0,0
"BRIDGE_HOR_10671",12.5,38.01666667,"barley",0,0
"BRIDGE_BCC_112",12.6,32.03333333,"barley",1024,0.1024
"BRIDGE_HOR_3959",12.64805556,47.28222222,"barley",12982,1.2982
"BRIDGE_HOR_10943",12.68333333,43.71666667,"barley",7608,0.7608
"BRIDGE_HOR_10944",12.68333333,43.71666667,"barley",7608,0.7608
"BRIDGE_HOR_10555",12.73666667,37.94027778,"barley",3287,0.3287
"BRIDGE_HOR_10670",12.73666667,37.94027778,"barley",3287,0.3287
"BRIDGE_HOR_10772",12.73666667,37.94027778,"barley",3287,0.3287
"BRIDGE_HOR_3954",12.8,47.06638889,"barley",23365,2.3365
"BRIDGE_HOR_3777",12.86972222,46.86972222,"barley",12299,1.2299
"BRIDGE_HOR_3960",12.86972222,46.86972222,"barley",12299,1.2299
"BRIDGE_HOR_3949",12.88,46.96972222,"barley",14923,1.4923
"BRIDGE_HOR_3956",12.9,46.67972222,"barley",12769,1.2769
"BRIDGE_HOR_10937",12.98305556,42.54972222,"barley",7568,0.7568
"BRIDGE_HOR_9857",13.00777778,48.13444444,"barley",13142,1.3142
"BRIDGE_HOR_9858",13.00777778,48.13444444,"barley",13142,1.3142
"BRIDGE_HOR_10939",13.06638889,43.13305556,"barley",7395,0.7395
"BRIDGE_HOR_10940",13.06638889,43.13305556,"barley",7395,0.7395
"BRIDGE_HOR_10941",13.06638889,43.13305556,"barley",7395,0.7395
"BRIDGE_HOR_10942",13.06638889,43.13305556,"barley",7395,0.7395
"BRIDGE_HOR_10992",13.06638889,43.13305556,"barley",7395,0.7395
"BRIDGE_HOR_10945",13.1,43.71666667,"barley",6614,0.6614
"BRIDGE_HOR_10950",13.1,43.71666667,"barley",6614,0.6614
"BRIDGE_HOR_11107",13.1,43.71666667,"barley",6614,0.6614
"BRIDGE_HOR_11108",13.1,43.71666667,"barley",6614,0.6614
"BRIDGE_HOR_3950",13.16972222,46.97972222,"barley",16283,1.6283
"BRIDGE_HOR_3961",13.2,47.35,"barley",15162,1.5162
"BRIDGE_HOR_9848",13.29694444,47.9925,"barley",15248,1.5248
"BRIDGE_HOR_9850",13.29694444,47.9925,"barley",15248,1.5248
"BRIDGE_HOR_9851",13.29694444,47.9925,"barley",15248,1.5248
"BRIDGE_HOR_10936",13.3,42.51638889,"barley",7695,0.7695
"BRIDGE_HOR_11012",13.3,42.51638889,"barley",7695,0.7695
"BRIDGE_BCC_1590",13.3,42.51666667,"barley",7695,0.7695
"BRIDGE_HOR_10553",13.34,37.65777778,"barley",3886,0.3886
"BRIDGE_HOR_8702",13.36638889,37.88305556,"barley",3827,0.3827
"BRIDGE_HOR_3951",13.5,46.92972222,"barley",16111,1.6111
"BRIDGE_HOR_3957",13.5,47.14972222,"barley",21399,2.1399
"BRIDGE_HOR_3958",13.61972222,47.07972222,"barley",18853,1.8853
"BRIDGE_HOR_9855",13.66666667,48.5,"barley",14381,1.4381
"BRIDGE_HOR_9856",13.66666667,48.5,"barley",14381,1.4381
"BRIDGE_HOR_10552",13.75,37.62333333,"barley",3318,0.3318
"BRIDGE_HOR_10638",13.75,37.62333333,"barley",3318,0.3318
"BRIDGE_HOR_9712",14.085,41.36638889,"barley",7192,0.7192
"BRIDGE_HOR_13488_A",14.21638889,40.54972222,"barley",7399,0.7399
"BRIDGE_HOR_22164",14.21638889,40.54972222,"barley",7399,0.7399
"BRIDGE_HOR_9711",14.22916667,41.45694444,"barley",6206,0.6206
"BRIDGE_HOR_10630",14.47,48.54972222,"barley",11266,1.1266
"BRIDGE_HOR_3953",14.53305556,46.85,"barley",12546,1.2546
"BRIDGE_HOR_10094",14.76194444,48.51138889,"barley",13099,1.3099
"BRIDGE_HOR_9852",14.76194444,48.51138889,"barley",13099,1.3099
"BRIDGE_HOR_9853",14.76194444,48.51138889,"barley",13099,1.3099
"BRIDGE_HOR_9854",14.76194444,48.51138889,"barley",13099,1.3099
"BRIDGE_HOR_9256",14.91638889,41.26638889,"barley",5234,0.5234
"BRIDGE_HOR_9265",14.91638889,41.26638889,"barley",5234,0.5234
"BRIDGE_HOR_9462",14.91638889,41.26638889,"barley",5234,0.5234
"BRIDGE_HOR_13487",14.93305556,38.48305556,"barley",4402,0.4402
"BRIDGE_HOR_13486",14.96638889,38.39972222,"barley",4175,0.4175
"BRIDGE_HOR_9264",14.96805556,41.47138889,"barley",4092,0.4092
"BRIDGE_HOR_9308",14.96805556,41.47138889,"barley",4092,0.4092
"BRIDGE_HOR_9309",14.96805556,41.47138889,"barley",4092,0.4092
"BRIDGE_HOR_9257",15,41.33305556,"barley",4428,0.4428
"BRIDGE_HOR_9267",15,41.33305556,"barley",4428,0.4428
"BRIDGE_HOR_10411",15.08305556,41.34083333,"barley",4213,0.4213
"BRIDGE_HOR_10412",15.08305556,41.34083333,"barley",4213,0.4213
"BRIDGE_HOR_9268",15.08305556,41.34083333,"barley",4213,0.4213
"BRIDGE_HOR_9269",15.08305556,41.34083333,"barley",4213,0.4213
"BRIDGE_HOR_9273",15.08305556,41.28944444,"barley",4433,0.4433
"BRIDGE_HOR_9310",15.08305556,41.34083333,"barley",4213,0.4213
"BRIDGE_HOR_1999",15.09972222,37.5,"barley",3405,0.3405
"BRIDGE_HOR_4280",15.09972222,37.5,"barley",3405,0.3405
"BRIDGE_HOR_9258",15.15,41.33694444,"barley",4092,0.4092
"BRIDGE_HOR_9270",15.15,41.33694444,"barley",4092,0.4092
"BRIDGE_HOR_13158",15.16666667,45.28333333,"barley",14249,1.4249
"BRIDGE_HOR_9274",15.18305556,41.24333333,"barley",4368,0.4368
"BRIDGE_HOR_13159",15.23333333,45.2,"barley",13982,1.3982
"BRIDGE_HOR_9704",15.25,40.85,"barley",5902,0.5902
"BRIDGE_HOR_9705",15.25,40.85,"barley",5902,0.5902
"BRIDGE_HOR_2285",15.26638889,37.91638889,"barley",4775,0.4775
"BRIDGE_HOR_4579",15.26638889,37.91638889,"barley",4775,0.4775
"BRIDGE_HOR_2000",15.28305556,40.03305556,"barley",5295,0.5295
"BRIDGE_HOR_2001",15.3,37.89972222,"barley",4473,0.4473
"BRIDGE_HOR_2004",15.3,37.89972222,"barley",4473,0.4473
"BRIDGE_HOR_9859",15.41972222,47.38,"barley",12020,1.202
"BRIDGE_HOR_10028",15.47,40.71388889,"barley",5626,0.5626
"BRIDGE_HOR_10059",15.47,40.71388889,"barley",5626,0.5626
"BRIDGE_HOR_11478",15.53305556,40.85,"barley",4910,0.491
"BRIDGE_HOR_10952",15.55,47.38,"barley",13140,1.314
"BRIDGE_HOR_11479",15.57833333,40.69305556,"barley",5380,0.538
"BRIDGE_HOR_12791",15.57833333,40.69305556,"barley",5380,0.538
"BRIDGE_HOR_9261",15.60055556,41.68666667,"barley",1517,0.1517
"BRIDGE_HOR_10044",15.64194444,40.62777778,"barley",5493,0.5493
"BRIDGE_HOR_12822",15.66666667,40.95,"barley",4084,0.4084
"BRIDGE_HOR_12823",15.66666667,40.93305556,"barley",4099,0.4099
"BRIDGE_HOR_13523",15.66666667,40.95,"barley",4084,0.4084
"BRIDGE_HOR_13524",15.66666667,40.95,"barley",4084,0.4084
"BRIDGE_HOR_10045",15.85,40.48694444,"barley",5843,0.5843
"BRIDGE_HOR_10681",15.86638889,37.98305556,"barley",5156,0.5156
"BRIDGE_HOR_9913",15.88,40.34111111,"barley",6413,0.6413
"BRIDGE_HOR_9914",15.94416667,40.31055556,"barley",6352,0.6352
"BRIDGE_HOR_10223",15.98305556,40.09777778,"barley",7940,0.794
"BRIDGE_HOR_9255",15.99027778,41.93361111,"barley",2488,0.2488
"BRIDGE_HOR_9911",16.01,40.43972222,"barley",6084,0.6084
"BRIDGE_HOR_10225",16.05,39.7,"barley",7439,0.7439
"BRIDGE_HOR_10221",16.16638889,40.11638889,"barley",7151,0.7151
"BRIDGE_HOR_9262",16.16638889,41.81111111,"barley",2171,0.2171
"BRIDGE_HOR_10226",16.17583333,39.60055556,"barley",6094,0.6094
"BRIDGE_HOR_1669",16.2,39.21638889,"barley",8151,0.8151
"BRIDGE_HOR_2003",16.2,38.16638889,"barley",0,0
"BRIDGE_HOR_1670",16.25,39.29972222,"barley",6798,0.6798
"BRIDGE_HOR_1671",16.25,39.29972222,"barley",6798,0.6798
"BRIDGE_HOR_12824",16.28333333,40,"barley",7755,0.7755
"BRIDGE_HOR_12825",16.3,40.03333333,"barley",7049,0.7049
"BRIDGE_HOR_2002",16.3,38.33305556,"barley",5739,0.5739
"BRIDGE_HOR_2009",16.33305556,39.23305556,"barley",7656,0.7656
"BRIDGE_HOR_2010",16.33305556,39.23305556,"barley",7656,0.7656
"BRIDGE_HOR_2011",16.33305556,39.23305556,"barley",7656,0.7656
"BRIDGE_HOR_10229",16.35277778,39.33305556,"barley",7711,0.7711
"BRIDGE_HOR_10230",16.35277778,39.33305556,"barley",7711,0.7711
"BRIDGE_HOR_10364",16.36638889,39.08305556,"barley",8016,0.8016
"BRIDGE_HOR_10365",16.36638889,39.08305556,"barley",8016,0.8016
"BRIDGE_HOR_10474",16.36638889,39.08305556,"barley",8016,0.8016
"BRIDGE_HOR_2005",16.39972222,38.31638889,"barley",0,0
"BRIDGE_HOR_10825",16.5,40.72722222,"barley",4402,0.4402
"BRIDGE_HOR_2392",16.61638889,39.45,"barley",7677,0.7677
"BRIDGE_HOR_2486",16.61638889,39.45,"barley",7677,0.7677
"BRIDGE_HOR_2008",16.7,39.25,"barley",7591,0.7591
