,maize_cec
SEEDGWAS1351:MRG:4:250105253,273
SEEDGWAS1352:MRG:4:250105254,273
SEEDGWAS1353:MRG:4:250105255,259
SEEDGWAS1355:MRG:4:250105256,298
SEEDGWAS1356:MRG:4:250105257,274
SEEDGWAS1357:MRG:4:250105258,315
SEEDGWAS1358:MRG:4:250105259,258
SEEDGWAS1359:MRG:4:250105260,258
SEEDGWAS136:MRG:4:250056104,262
SEEDGWAS1360:MRG:4:250105261,290
SEEDGWAS1361:MRG:4:250105262,167
SEEDGWAS1362:MRG:4:250105263,161
SEEDGWAS1363:MRG:4:250105264,196
SEEDGWAS1364:MRG:4:250105265,182
SEEDGWAS1365:MRG:4:250105266,124
SEEDGWAS1366:MRG:4:250105267,249
SEEDGWAS1367:MRG:4:250105268,242
SEEDGWAS1368:MRG:4:250105269,214
SEEDGWAS1369:MRG:4:250105270,174
SEEDGWAS137:MRG:4:250056105,254
SEEDGWAS1370:MRG:4:250105271,219
SEEDGWAS1371:MRG:4:250105272,162
SEEDGWAS1372:MRG:4:250105273,162
SEEDGWAS1373:MRG:4:250105275,409
SEEDGWAS1374:MRG:4:250105276,402
SEEDGWAS1375:MRG:4:250105277,374
SEEDGWAS1376:MRG:4:250105278,374
SEEDGWAS1377:MRG:4:250105279,318
SEEDGWAS1378:MRG:4:250105280,287
SEEDGWAS1379:MRG:4:250105281,288
SEEDGWAS1380:MRG:4:250105282,NA
SEEDGWAS1381:MRG:4:250105283,279
SEEDGWAS1383:MRG:4:250105284,220
SEEDGWAS1386:MRG:4:250105287,251
SEEDGWAS1387:MRG:4:250105288,309
SEEDGWAS1388:MRG:4:250105289,239
SEEDGWAS1389:MRG:4:250105290,257
SEEDGWAS139:MRG:4:250056107,219
SEEDGWAS1390:MRG:4:250105291,315
SEEDGWAS1391:MRG:4:250105292,310
SEEDGWAS1392:MRG:4:250105293,239
SEEDGWAS1393:MRG:4:250105294,NA
SEEDGWAS1394:MRG:4:250105295,264
SEEDGWAS1395:MRG:4:250105296,NA
SEEDGWAS14:MRG:4:250054456,222
SEEDGWAS1400:MRG:4:250105298,211
SEEDGWAS1401:MRG:4:250105299,242
SEEDGWAS1402:MRG:4:250105300,238
SEEDGWAS1403:MRG:4:250105301,238
SEEDGWAS1404:MRG:4:250105302,238
