,rice_cec
IRIS_313-11639,283
IRIS_313-11640,283
IRIS_313-11641,283
IRIS_313-11642,283
IRIS_313-11643,283
IRIS_313-11644,283
IRIS_313-11645,283
IRIS_313-11646,283
IRIS_313-11647,283
IRIS_313-11648,283
IRIS_313-11650,283
IRIS_313-11712,283
IRIS_313-11737,369
IRIS_313-11738,350
IRIS_313-11742,283
IRIS_313-11821,283
IRIS_313-11822,283
IRIS_313-11823,283
IRIS_313-11824,283
IRIS_313-11825,283
IRIS_313-11826,283
IRIS_313-11827,283
IRIS_313-11828,283
IRIS_313-11917,370
IRIS_313-11918,394
IRIS_313-11919,370
IRIS_313-11969,201
IRIS_313-12013,283
IRIS_313-12052,177
IRIS_313-7736,283
IRIS_313-7780,283
IRIS_313-8265,283
IRIS_313-8303,274
IRIS_313-8305,283
IRIS_313-8386,NA
IRIS_313-8435,201
IRIS_313-8498,203
IRIS_313-8530,283
IRIS_313-8568,354
IRIS_313-8614,283
IRIS_313-8631,121
IRIS_313-8704,211
IRIS_313-8727,283
IRIS_313-8731,370
IRIS_313-8754,223
IRIS_313-8757,404
IRIS_313-8796,370
IRIS_313-8813,NA
IRIS_313-8920,404
IRIS_313-8924,NA
IRIS_313-8986,NA
IRIS_313-8988,444
IRIS_313-9137,203
IRIS_313-9176,203
IRIS_313-9201,210
IRIS_313-9258,274
IRIS_313-9313,NA
IRIS_313-9360,283
IRIS_313-9384,231
IRIS_313-9392,180
IRIS_313-9400,283
IRIS_313-9403,162
IRIS_313-9424,NA
IRIS_313-9484,427
IRIS_313-9492,283
IRIS_313-9516,283
IRIS_313-9547,274
IRIS_313-9557,177
IRIS_313-9605,201
IRIS_313-9609,NA
IRIS_313-9610,316
IRIS_313-9611,NA
IRIS_313-9629,283
IRGC_122298,226
IRGC_14413,265
IRGC_19972,222
IRGC_27129,222
IRGC_35834,207
IRGC_43322,248
IRGC_43369,248
IRGC_43372,190
IRGC_43394,NA
IRGC_43400,199
IRGC_43540,199
IRGC_54333,154
IRGC_66640,208
IRGC_8260,222
