,barley_PC1,barley_PC2,barley_PC3,barley_ph,barley_cec,barley_ph,barley_am_rel_abundance_colonization,barley_am_roots_colonized,barley_soilN
BRIDGE_HOR_11496,-2.391103629,-1.413259098,-0.55242056,65,202,65,NA,NA,433
BRIDGE_HOR_11497,-2.391103629,-1.413259098,-0.55242056,69,215,69,NA,NA,271
BRIDGE_HOR_11498,-2.391103629,-1.413259098,-0.55242056,68,222,68,NA,NA,331
BRIDGE_HOR_13493,-2.984245432,-1.626853547,-0.730021882,69,210,69,NA,NA,383
BRIDGE_HOR_13490,-2.738538133,-1.900806225,-0.508361056,69,215,69,0.408903092,0.166732997,269
BRIDGE_HOR_11480,-2.62390818,-1.696703745,-0.660440163,71,224,71,NA,NA,281
BRIDGE_HOR_11481,-2.62390818,-1.696703745,-0.660440163,72,235,72,NA,NA,289
BRIDGE_HOR_11482,-2.62390818,-1.696703745,-0.660440163,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_11483,-2.624567212,-1.834356206,-0.673430651,73,216,73,NA,NA,269
BRIDGE_HOR_11484,-2.624567212,-1.834356206,-0.673430651,72,197,72,NA,NA,271
BRIDGE_HOR_13462,-2.62390818,-1.696703745,-0.660440163,71,224,71,NA,NA,281
BRIDGE_HOR_12831,-2.60310673,-1.840961457,-0.778052277,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_11501,-2.2410905,-1.664842139,-0.329805597,72,201,72,NA,NA,280
BRIDGE_HOR_11499,-2.449504015,-1.082006585,-0.798769072,66,186,66,NA,NA,339
BRIDGE_HOR_11488,-1.857446056,-2.35315377,-0.240140383,76,216,76,NA,NA,249
BRIDGE_HOR_11487,-1.88157364,-2.431608528,-0.185271173,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_11491,-1.902287718,-2.051300685,-0.538528854,74,220,74,NA,NA,243
BRIDGE_HOR_11504,-1.902287718,-2.051300685,-0.538528854,74,220,74,NA,NA,243
BRIDGE_HOR_12711,-1.902287718,-2.051300685,-0.538528854,74,220,74,NA,NA,243
BRIDGE_HOR_12712,-1.902287718,-2.051300685,-0.538528854,74,220,74,NA,NA,243
BRIDGE_HOR_12795,-1.902287718,-2.051300685,-0.538528854,74,220,74,NA,NA,243
BRIDGE_HOR_13466,-1.902287718,-2.051300685,-0.538528854,74,220,74,NA,NA,243
BRIDGE_HOR_11490,-1.725125883,-1.599304414,-0.969866795,73,216,73,0.484887421,0.256222099,222
BRIDGE_HOR_11485,-1.787872747,-2.398214487,-0.226921156,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_11486,-1.787872747,-2.398214487,-0.226921156,78,198,78,NA,NA,228
BRIDGE_HOR_11489,-1.725125883,-1.599304414,-0.969866795,68,211,68,0.484887421,0.256222099,384
BRIDGE_HOR_11502,-1.989462152,-0.969095746,-1.429293328,64,216,64,NA,NA,389
BRIDGE_HOR_12794,-1.989462152,-0.969095746,-1.429293328,64,216,64,NA,NA,389
BRIDGE_HOR_11492,-1.792959795,-1.860472256,-0.882262123,72,213,72,0.484887421,0.256222099,415
BRIDGE_HOR_11493,-1.95595432,-1.882251351,-0.960987418,74,198,74,0.523103118,0.109013602,328
BRIDGE_HOR_12793,-1.95595432,-1.882251351,-0.960987418,74,198,74,0.523103118,0.109013602,328
BRIDGE_HOR_11494,-2.302694486,-2.116907879,-0.896596063,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_13494,-2.28715072,-1.87721511,-1.046367403,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_94,1.016806944,5.155987452,-3.605376818,64,313,64,0.61393708,0.259354115,890
BRIDGE_HOR_10367,-2.083869093,1.28213751,-2.263802775,69,290,69,0.528680146,0.133279994,705
BRIDGE_HOR_3964,0.730016031,5.172417939,-3.711727688,NA,NA,NA,0.61393708,0.259354115,NA
BRIDGE_HOR_11123,0.745264988,0.802008224,-1.056926406,63,309,63,NA,NA,842
BRIDGE_HOR_11124,0.745264988,0.802008224,-1.056926406,63,309,63,NA,NA,842
BRIDGE_HOR_12411,0.745264988,0.802008224,-1.056926406,63,309,63,NA,NA,842
BRIDGE_HOR_12787,0.745264988,0.802008224,-1.056926406,63,309,63,NA,NA,842
BRIDGE_HOR_13495_A,-0.37527462,1.922510438,-2.951347219,NA,NA,NA,0.600958705,0.115457103,NA
BRIDGE_HOR_13496,-0.37527462,1.922510438,-2.951347219,NA,NA,NA,0.600958705,0.115457103,NA
BRIDGE_HOR_22167,-0.37527462,1.922510438,-2.951347219,NA,NA,NA,0.600958705,0.115457103,NA
BRIDGE_HOR_11006,2.136224088,3.01398282,-2.156787094,61,274,61,0.61393708,0.259354115,648
BRIDGE_HOR_11005,1.591248736,2.663580928,-1.893534279,69,305,69,0.646012485,0.201674193,663
BRIDGE_HOR_3968,0.827815921,3.86220848,-2.761160066,59,300,59,0.646012485,0.201674193,716
BRIDGE_HOR_10949,-1.812169189,-0.300378674,-1.794639021,76,264,76,0.528680146,0.133279994,368
BRIDGE_HOR_11003,-2.440419874,2.544953763,-3.38416593,66,279,66,0.528680146,0.133279994,661
BRIDGE_HOR_2348,1.233757707,5.590894648,-4.193927082,56,389,56,NA,NA,827
BRIDGE_HOR_2346,1.233757707,5.590894648,-4.193927082,55,336,55,NA,NA,996
BRIDGE_HOR_11004,-2.305041539,1.822495686,-2.937955409,70,297,70,0.523103118,0.109013602,610
BRIDGE_HOR_2404,0.247256844,3.945292496,-2.569520081,58,298,58,0.61393708,0.259354115,911
BRIDGE_HOR_947,0.247256844,3.945292496,-2.569520081,58,298,58,0.61393708,0.259354115,911
BRIDGE_HOR_11008,0.679741449,2.539181817,-1.348324918,52,317,52,0.646012485,0.201674193,849
BRIDGE_HOR_91,-0.783791117,3.794142198,-2.365038731,59,343,59,0.646012485,0.201674193,1064
BRIDGE_HOR_814,-0.783791117,3.794142198,-2.365038731,59,343,59,0.646012485,0.201674193,1064
BRIDGE_HOR_12420,-2.898147587,-2.010324933,-0.89916795,72,211,72,NA,NA,292
BRIDGE_HOR_10947,-1.879816377,1.756953626,-3.338579194,64,276,64,0.523103118,0.109013602,767
BRIDGE_HOR_10948,-0.923564199,0.263095117,-2.201873899,69,290,69,NA,NA,665
BRIDGE_HOR_11114,-0.781594917,-1.533843027,-1.314781307,71,223,71,NA,NA,292
BRIDGE_HOR_12721,-0.781594917,-1.533843027,-1.314781307,71,223,71,NA,NA,292
BRIDGE_HOR_11009,0.588826945,3.443168979,-1.856199182,59,287,59,0.642683983,0.138856202,905
BRIDGE_HOR_10682,-2.792376823,-1.89211834,-0.574418927,72,229,72,NA,NA,292
BRIDGE_HOR_10683,-2.792376823,-1.89211834,-0.574418927,72,229,72,NA,NA,292
BRIDGE_HOR_10946,-1.616581243,0.617769182,-2.693119647,74,257,74,0.530736446,0.153037205,580
BRIDGE_HOR_11113,-1.006405878,-1.686921437,-1.048134845,74,254,74,NA,NA,311
BRIDGE_HOR_11122,-1.006405878,-1.686921437,-1.048134845,74,254,74,NA,NA,311
BRIDGE_HOR_93,-0.18133509,3.654998407,-2.243247481,53,339,53,0.61393708,0.259354115,1216
BRIDGE_HOR_10554,-2.59582137,-2.032948788,-0.437453568,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_10556,-2.59582137,-2.032948788,-0.437453568,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_10557,-2.59582137,-2.032948788,-0.437453568,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_10560,-2.59582137,-2.032948788,-0.437453568,NA,NA,NA,NA,NA,NA
BRIDGE_HOR_10671,-2.59582137,-2.032948788,-0.437453568,NA,NA,NA,NA,NA,NA
BRIDGE_BCC_112,-1.423128298,-3.702868724,0.609265097,77,198,77,NA,NA,148
BRIDGE_HOR_3959,0.097721717,4.059499957,-2.334237217,60,327,60,0.646012485,0.201674193,969
BRIDGE_HOR_10943,-1.350187059,0.567285425,-2.521291531,73,295,73,NA,NA,495
BRIDGE_HOR_10944,-1.350187059,0.567285425,-2.521291531,73,295,73,NA,NA,495
BRIDGE_HOR_10555,-2.331956393,-2.011428352,-0.486875184,76,229,76,NA,NA,209
BRIDGE_HOR_10670,-2.331956393,-2.011428352,-0.486875184,76,229,76,NA,NA,209
BRIDGE_HOR_10772,-2.331956393,-2.011428352,-0.486875184,76,229,76,NA,NA,209
BRIDGE_HOR_3954,0.637103219,6.41260931,-4.303077957,50,435,50,0.61393708,0.259354115,1170
BRIDGE_HOR_3777,0.277679466,4.186614688,-2.218199167,52,331,52,0.642683983,0.138856202,933
BRIDGE_HOR_3960,0.277679466,4.186614688,-2.218199167,52,331,52,0.642683983,0.138856202,933
BRIDGE_HOR_3949,0.277679466,4.186614688,-2.218199167,54,307,54,0.642683983,0.138856202,749
