Taxa,GEO3,ISO3,lon,lat
IS1182.C1AB3ACXX.7.250137251,South Asia,IND,85.25,25.57999992
IS1186.C1AB3ACXX.7.250137252,South Asia,IND,79.12999725,12.93000031
IS1187.C1AB3ACXX.7.250137253,South Asia,IND,81.11000061,16.70999908
IS11919.D0D0HACXX.5.250046340,Eastern Africa,ERI,39.04999924,15.06999969
IS11954.MRG.4.250047668,Eastern Africa,ERI,38.91999817,15.31999969
IS11960.D0D0HACXX.5.250046081,Eastern Africa,ERI,38.91999817,15.31999969
IS12031.C1AB3ACXX.7.250138390,Eastern Africa,ETH,40.71667,7.15
IS12106.C1AB3ACXX.7.250138391,Eastern Africa,ETH,45.15999985,7.480000019
IS12110.70MUKAAXX.2.250006030,Eastern Africa,ETH,36.68999863,9.210000038
IS12169.628NVAAXX.5.250006923,Eastern Africa,ETH,39.02999878,12.02999973
IS1236.C1AB3ACXX.7.250137254,South Asia,IND,78.41000366,10.60000038
IS1240.C1AB3ACXX.7.250137255,South Asia,IND,77.11000061,12.14999962
IS1243.C1AB3ACXX.7.250137256,South Asia,IND,77.86000061,9.170000076
IS1246.C1AB3ACXX.7.250137257,South Asia,IND,78.11000061,9.800000191
IS12531.628NVAAXX.5.250006971,Eastern Africa,ETH,42.11000061,9.31000042
IS1257.C1AB3ACXX.7.250137258,South Asia,IND,78.34999847,9.319999695
IS12584.C1AB3ACXX.7.250138392,Eastern Africa,KEN,38.56000137,-3.349999905
IS12590.C1AB3ACXX.7.250138393,Eastern Africa,KEN,40.13000107,-1.909999967
IS12606.C1AB3ACXX.7.250138394,Southeast Asia,PHL,122.0628,12.4906
IS12734.C1AB3ACXX.7.250138395,NW Pacific and East Asia,CHN,126.5699997,43.86000061
IS12740.C1AB3ACXX.7.250138396,NW Pacific and East Asia,CHN,116.38833,39.92889
IS12779.C1AB3ACXX.7.250138397,Central Europe,TUR,36.1166,36.2333
IS12782.C1AB3ACXX.7.250138398,Central Europe,TUR,39.25,38.06667
IS12789.C1AB3ACXX.7.250138399,Central Europe,TUR,30.689722,36.9125
IS12793.C1AB3ACXX.7.250138400,Central Europe,TUR,30.2908333,37.7202778
IS12796.C1AB3ACXX.7.250138401,Central Europe,TUR,27.9644444,37.8444
IS12801.C1AB3ACXX.7.250138402,Central Europe,TUR,27.1502778,38.4072222
IS12804.628P7AAXX.7.250007027,Central Europe,TUR,28.9647222,41.0186111
IS12805.C1AB3ACXX.7.250138403,Central Europe,TUR,26.555833,41.676944
IS12808.C1AB3ACXX.7.250138404,Central Europe,TUR,26.3325,39.79
IS12810.C1AB3ACXX.7.250138405,Central Europe,TUR,27.05999947,40.04000092
IS12811.C1AB3ACXX.7.250138406,Central Europe,TUR,27.97999954,40.36000061
IS12813.C1AB3ACXX.7.250138407,Central Europe,TUR,41.8194444,41.1822222
IS12815.C1AB3ACXX.7.250138408,Central Europe,TUR,43.0975,40.6080556
IS12817.C1AB3ACXX.7.250138409,Central Europe,TUR,43.38,38.4941667
IS12818.C1AB3ACXX.7.250138410,Central Europe,TUR,40.7427778,37.3111111
IS12819.C1AB3ACXX.7.250138411,Central Europe,TUR,37.7941667,37.0097222
IS12821.C1AB3ACXX.7.250138412,Central Europe,TUR,36.9166,37.6
IS12822.C1AB3ACXX.7.250138413,Central Europe,TUR,38.311944,38.353333
IS12945.D0D0HACXX.5.250046350,Meso-America,NIC,-85.8333,11.4333
IS12953.C1AB3ACXX.7.250138414,Meso-America,SLV,-89.80111,13.86
IS13148.C1AB3ACXX.7.250138415,Mashriq,IRQ,44.3938889,33.3386111
IS13155.C1AB3ACXX.7.250138416,Central Europe,TUR,30.6333,41.0333
IS13263.C1AB3ACXX.7.250138417,South Asia,IND,73.01999664,26.28000069
IS13264.D0D0HACXX.5.250046082,South Asia,IND,74.6333,26.45
IS13512.C1AB3ACXX.7.250138418,Caribbean,BRB,-59.529999,13.17
IS13515.C1AB3ACXX.7.250138419,Arabian Peninsula,SAU,45.2167,22.6833
IS1360.C1AB3ACXX.7.250137259,South Asia,IND,73.23000336,24.62999916
IS1371.C1AB3ACXX.7.250137260,South Asia,IND,79.26000214,16.28000069
IS13782.D0D0HACXX.5.250046354,Southern Africa,ZAF,29.87103,-29.01502
IS13791.628P7AAXX.7.250007099,Southern Africa,ZAF,29.87103,-29.01502
IS13827.70MUKAAXX.2.250006050,Southern Africa,ZAF,29.87103,-29.01502
IS13845.628NVAAXX.5.250006901,Southern Africa,ZAF,29.87103,-29.01502
IS13893.D0D0HACXX.5.250046355,Southern Africa,ZAF,29.87103,-29.01502
IS13919.D0D0HACXX.5.250046356,Southern Africa,ZAF,29.87103,-29.01502
IS13926.628NVAAXX.5.250006925,Southern Africa,ZAF,29.87103,-29.01502
IS13971.D0D0HACXX.5.250046357,Southern Africa,ZAF,29.87103,-29.01502
IS1398.628NVAAXX.5.250006961,North Africa,SDN,30.22999954,10.36999989
IS13989.628NVAAXX.5.250006949,Southern Africa,ZAF,29.87103,-29.01502
IS1401.C1AB3ACXX.7.250137261,South Asia,PAK,66.90000153,25.37999916
IS14010.D0D0HACXX.5.250046358,Southern Africa,ZAF,29.87103,-29.01502
IS14133.C1AB3ACXX.7.250138420,Central Europe,TUR,30.02,40.2447222
IS1416.C1AB3ACXX.7.250137262,South Asia,IND,78.87999725,20.80999947
IS1425.C1AB3ACXX.7.250137263,South Asia,IND,79.81999969,10.92000008
IS14444.C1AB3ACXX.7.250138421,South Asia,IND,79.5167,29.05000069
IS14449.70MUKAAXX.2.250006046,North Africa,SDN,35.22000122,14.03999996
IS14478.70MUKAAXX.2.250006051,North Africa,SDS,32.06000137,8.409999847
IS14556.70MUKAAXX.2.250006075,Eastern Africa,ETH,35.97999954,4.510000229
IS14564.MRG.4.250047679,North Africa,SDN,35.22000122,14.03999996
IS14635.C1AB3ACXX.7.250138422,Eastern Africa,ETH,40.24000168,9.010000229
IS1464.C1AB3ACXX.7.250137264,South Asia,IND,77.72000122,16.97999954
IS1469.C1AB3ACXX.7.250137265,South Asia,IND,79.27999878,15.72999954
IS14719.MRG.4.250047681,Eastern Africa,ETH,37.54999924,6.03000021
IS1472.C1AB3ACXX.7.250137266,South Asia,IND,78.08000183,10.96000004
IS14724.C1AB3ACXX.7.250138424,Eastern Africa,ETH,37.34999847,5.289999962
IS14735.70MUKAAXX.2.250006039,Eastern Africa,ETH,37.93000031,5.380000114
IS1477.C1AB3ACXX.7.250137267,South Asia,IND,77.44999695,11.46000004
IS1520.C1AB3ACXX.7.250137268,South Asia,IND,79.98999786,14.89000034
IS1523.C1AB3ACXX.7.250137269,South Asia,IND,79.62999725,13.18000031
IS1540.C1AB3ACXX.7.250137270,South Asia,IND,78.51000214,11.26000023
IS17149.C1AB3ACXX.7.250138425,Western Africa,NGA,8.079999924,5.570000172
IS17185.C1AB3ACXX.7.250138426,Western Africa,NGA,13.68000031,11.52000046
IS17195.C1AB3ACXX.7.250138427,Western Africa,NGA,3.910000086,8.079999924
IS17196.C1AB3ACXX.7.250138428,Western Africa,NGA,9.050000191,7.360000134
IS17669.C1AB3ACXX.7.250138429,South Asia,IND,80.55000305,18.29999924
IS17671.C1AB3ACXX.7.250138430,South Asia,IND,80.19000244,17.82999992
IS17749.C1AB3ACXX.7.250138431,South Asia,IND,77.66000366,15.44999981
IS17752.C1AB3ACXX.7.250138432,South Asia,IND,80.04000092,15.48999977
IS17766.C1AB3ACXX.7.250138433,South Asia,IND,79.84999847,14.14999962
IS17815.C1AB3ACXX.7.250138434,South Asia,IND,80.91999817,17.62999916
IS17819.C1AB3ACXX.7.250138435,South Asia,IND,82.19999695,17.52000046
IS17857.C1AB3ACXX.7.250138436,South Asia,IND,82.66000366,18.06999969
IS17864.C1AB3ACXX.7.250138437,South Asia,IND,84.47000122,18.86000061
IS17872.C1AB3ACXX.7.250138438,South Asia,IND,86.30999756,20.75
IS17885.C1AB3ACXX.7.250138439,South Asia,IND,83.88999939,18.77000046
IS17891.C1AB3ACXX.7.250138440,South Asia,IND,81.63999939,17.25
IS17896.C1AB3ACXX.7.250138441,South Asia,IND,83.5,18.25
IS17905.C1AB3ACXX.7.250138442,South Asia,IND,83.41000366,19.15999985
IS17909.C1AB3ACXX.7.250138443,South Asia,IND,76.83000183,17.32999992
IS17912.C1AB3ACXX.7.250138444,South Asia,IND,83.08999634,20.06999969
IS17917.C1AB3ACXX.7.250138445,South Asia,IND,72.48999786,26.37999916
IS17919.C1AB3ACXX.7.250138446,South Asia,IND,71.90000153,26.92000008
IS17920.C1AB3ACXX.7.250138447,South Asia,IND,70.91000366,26.90999985
IS17921.C1AB3ACXX.7.250138448,South Asia,IND,72.61000061,25.34000015
IS17922.C1AB3ACXX.7.250138449,South Asia,IND,73.12999725,25.29999924
IS17925.C1AB3ACXX.7.250138450,South Asia,IND,73.5,27.5
IS17926.C1AB3ACXX.7.250138451,South Asia,IND,75.68000031,27.06999969
IS17929.C1AB3ACXX.7.250138452,South Asia,IND,73.55999756,23.20000076
IS17930.C1AB3ACXX.7.250138453,South Asia,IND,76.55999756,23.20000076
IS17933.C1AB3ACXX.7.250138454,South Asia,IND,75.15000153,25.95999908
IS17937.C1AB3ACXX.7.250138455,South Asia,IND,73.70999908,26.65999985
IS17941.MRG.4.250047478,South Asia,IND,76.66999817,26.54999924
IS17942.C1AB3ACXX.7.250138456,South Asia,IND,73.33000183,25.76000023
IS17958.C1AB3ACXX.7.250138457,South Asia,IND,77.13999939,19.71999931
IS17980.MRG.4.250047479,South Asia,IND,77,20.70000076
IS18039.MRG.4.250047480,South Asia,IND,77,20.70000076
IS18234.C1AB3ACXX.7.250138458,South Asia,BGD,89.9343761,23.3629599
IS18235.C1AB3ACXX.7.250138459,South Asia,BGD,90.4086151,23.7230568
IS18236.C1AB3ACXX.7.250138460,South Asia,BGD,89.20999908,23.15999985
IS18238.C1AB3ACXX.7.250138461,South Asia,BGD,90.0906372,25.0880864
IS18295.C1AB3ACXX.7.250138462,Western Africa,NER,5.570000172,14.03999996
IS18303.C1AB3ACXX.7.250138463,Western Africa,NER,4.019999981,13.38000011
IS18822.C1AB3ACXX.7.250138464,North Africa,SDN,32.25,13.47999954
IS18948.MRG.4.250047689,South Asia,IND,77.73999786,27.44000053
IS19016.70MUKAAXX.2.250006066,North Africa,SDN,24.14999962,11.18999958
IS19026.628P7AAXX.7.250007103,North Africa,SDN,24.14999962,11.18999958
IS19041.70MUKAAXX.2.250006078,North Africa,SDN,24.14999962,11.18999958
IS19126.D0D0HACXX.5.250046083,North Africa,SDN,24.14999962,11.18999958
IS19132.628NVAAXX.5.250006905,North Africa,SDN,24.14999962,11.18999958
IS19153.MRG.4.250047481,North Africa,SDN,24.14999962,11.18999958
IS19262.D0D0HACXX.5.250046084,North Africa,SDN,24.14999962,11.18999958
IS19477.C1AB3ACXX.7.250138465,North Africa,SDS,30.68000031,4.090000153
IS19485.C1AB3ACXX.7.250138466,North Africa,SDS,30.13999939,5.230000019
IS19494.C1AB3ACXX.7.250138467,North Africa,SDS,29.10000038,8.529999733
IS19507.C1AB3ACXX.7.250138468,North Africa,SDS,27.27000046,5.349999905
IS19513.C1AB3ACXX.7.250138469,North Africa,SDS,31.61000061,4.849999905
IS19520.C1AB3ACXX.7.250138470,North Africa,SDS,27.53000069,7.340000153
IS19677.C1AB3ACXX.7.250138471,South Asia,IND,81.93000031,19.19000053
IS19680.C1AB3ACXX.7.250138472,South Asia,IND,81.66000366,18.39999962
IS19685.628NVAAXX.5.250006977,South Asia,IND,80.91000366,21.10000038
IS19698.C1AB3ACXX.7.250138473,South Asia,IND,81.23999786,19.70999908
IS19700.C1AB3ACXX.7.250138474,South Asia,IND,80.55999756,22.59000015
IS19706.C1AB3ACXX.7.250138475,South Asia,IND,82.58999634,23.05999947
IS19732.C1AB3ACXX.7.250138476,South Asia,IND,80.44999695,21.72999954
IS19758.C1AB3ACXX.7.250138477,South Asia,IND,78.34999847,22.72999954
IS19804.C1AB3ACXX.7.250138478,South Asia,IND,81.65000153,24.96999931
IS19847.70MUKAAXX.2.250006012,South Asia,IND,79.58999634,24.90999985
IS19859.MRG.4.250047487,South Asia,IND,80.30000305,25.18000031
IS19946.C1AB3ACXX.7.250138479,Western Africa,SEN,-14.47999954,15.48999977
IS19950.C1AB3ACXX.7.250138480,Western Africa,SEN,-13.67000008,14.5
IS19953.628P7AAXX.7.250007033,Western Africa,SEN,-13.77999973,15.02999973
IS19956.C1AB3ACXX.7.250138481,Western Africa,SEN,-14.67000008,16.17000008
IS19962.C1AB3ACXX.7.250138482,Western Africa,SEN,-15.57999992,16.37999916
IS19975.MRG.4.250047488,Western Africa,SEN,-15.47000027,13.14000034
IS19978.C1AB3ACXX.7.250137625,Western Africa,SEN,-16.37999916,13.67000008
IS19982.C1AB3ACXX.7.250137626,Western Africa,SEN,-13.02000046,14.51000023
IS19988.C1AB3ACXX.7.250137627,Western Africa,SEN,-13.02999973,15.15999985
IS19991.C1AB3ACXX.7.250137628,Western Africa,SEN,-15.88000011,14.07999992
IS19998.C1AB3ACXX.7.250137629,Western Africa,SEN,-14.25,14.13000011
IS20004.C1AB3ACXX.7.250137630,Western Africa,SEN,-14.39999962,14.59000015
IS20016.628P7AAXX.7.250007057,Western Africa,SEN,-14.97000027,14.13000011
IS20024.C1AB3ACXX.7.250137631,Western Africa,SEN,-12.26000023,14.07999992
IS20027.C1AB3ACXX.7.250137632,Western Africa,SEN,-13.43000031,13.93000031
IS20028.C1AB3ACXX.7.250137633,Western Africa,SEN,-12.3589829,14.8111833
IS20049.C1AB3ACXX.7.250137634,Western Africa,SEN,-12.85000038,13.88000011
IS20064.628P7AAXX.7.250007081,Western Africa,SEN,-12.17000008,13.25
IS20073.C1AB3ACXX.7.250137635,Western Africa,SEN,-12.82999992,12.57999992
IS20087.C1AB3ACXX.7.250137636,Western Africa,SEN,-13.86999989,13.67000008
IS20105.C1AB3ACXX.7.250137637,Western Africa,SEN,-14.03999996,13.07999992
IS20116.C1AB3ACXX.7.250137638,Western Africa,SEN,-13.44999981,13.07999992
IS20125.C1AB3ACXX.7.250137639,Western Africa,SEN,-14.77999973,12.82999992
IS20146.C1AB3ACXX.7.250137640,Western Africa,SEN,-15.64999962,12.56000042
IS20158.C1AB3ACXX.7.250137641,Western Africa,NER,10.42000008,13.43000031
IS20164.C1AB3ACXX.7.250137642,Western Africa,NER,13.18000031,13.88000011
IS20166.C1AB3ACXX.7.250137643,Western Africa,NER,11.71000004,13.52999973
IS20173.C1AB3ACXX.7.250137644,Western Africa,NER,11.31000042,13.94999981
IS20187.C1AB3ACXX.7.250137645,Western Africa,NER,12.65999985,13.35999966
IS20216.C1AB3ACXX.7.250137646,Western Africa,NER,8.859999657,13.02999973
IS20225.C1AB3ACXX.7.250137647,Western Africa,NER,10.25,13.94999981
IS20230.C1AB3ACXX.7.250137648,Western Africa,NER,9.100000381,13.88000011
IS20234.C1AB3ACXX.7.250137649,Western Africa,NER,9.329999924,12.89999962
IS20243.C1AB3ACXX.7.250137650,Western Africa,NER,9.909999847,13.18000031
IS20250.C1AB3ACXX.7.250137651,Western Africa,NER,7.460000038,14.72999954
IS20261.C1AB3ACXX.7.250137652,Western Africa,NER,6.760000229,14.30000019
IS20300.C1AB3ACXX.7.250137653,Western Africa,NER,9.029999733,14.38000011
IS20307.C1AB3ACXX.7.250137654,Western Africa,NER,2.059999943,14.30000019
IS20314.C1AB3ACXX.7.250137655,Western Africa,NER,7.179999828,13.93000031
IS20328.C1AB3ACXX.7.250137656,Western Africa,NER,6.179999828,13.90999985
IS20345.C1AB3ACXX.7.250137657,Western Africa,NER,4.349999905,14.67000008
IS20348.C1AB3ACXX.7.250137658,Western Africa,NER,4.849999905,13.85000038
IS20363.C1AB3ACXX.7.250137659,Western Africa,NER,6.309999943,14.76000023
IS20364.C1AB3ACXX.7.250137660,Western Africa,NER,5.349999905,15.85999966
IS20378.C1AB3ACXX.7.250137661,Western Africa,NER,5.210000038,14.44999981
IS20398.C1AB3ACXX.7.250137662,Western Africa,NER,2.960000038,13.40999985
IS20441.C1AB3ACXX.7.250137663,Western Africa,NER,2.829999924,12.72999954
IS20448.C1AB3ACXX.7.250137664,Western Africa,NER,3.660000086,14.47999954
IS20450.C1AB3ACXX.7.250137665,Western Africa,NER,2.549999952,14.27999973
IS20452.C1AB3ACXX.7.250137666,Western Africa,NER,3.50999999,15.18000031
IS20460.C1AB3ACXX.7.250137667,Western Africa,NER,3.180000067,14
IS20463.C1AB3ACXX.7.250137668,Western Africa,NER,4.210000038,14.02999973
IS20488.C1AB3ACXX.7.250137669,Western Africa,NER,1.450000048,13.85000038
IS20490.C1AB3ACXX.7.250137670,Western Africa,NER,2.460000038,13.35000038
IS20492.C1AB3ACXX.7.250137671,Western Africa,NER,1.549999952,14.42000008
IS20497.C1AB3ACXX.7.250137672,Western Africa,NER,1.899999976,13.35999966
IS20498.C1AB3ACXX.7.250137673,Western Africa,NER,0.709999979,14.56000042
IS20905.C1AB3ACXX.7.250137674,Central Africa,TCD,17.5667,8.9167
IS21015.C1AB3ACXX.7.250137675,Eastern Africa,KEN,37.0618055,-0.8447118
IS21055.C1AB3ACXX.7.250137676,Eastern Africa,KEN,34.997074,0.7477023
IS21083.MRG.4.250047501,Eastern Africa,KEN,34.47999954,-0.100000001
IS21124.628NVAAXX.5.250006955,Eastern Africa,KEN,34.3166676,-0.5666662
IS21126.70MUKAAXX.2.250006025,Eastern Africa,KEN,34.2174145,-0.6393854
IS21139.C1AB3ACXX.7.250137677,Eastern Africa,KEN,37.333334,-0.4333333
IS21155.C1AB3ACXX.7.250137678,Eastern Africa,KEN,34.6499977,-1.2333333
IS21160.C1AB3ACXX.7.250137679,Eastern Africa,KEN,38.4666672,-0.9833333
IS21169.C1AB3ACXX.7.250137680,Eastern Africa,KEN,36.2999992,-0.2500002
IS21186.C1AB3ACXX.7.250137681,NA,NA,39.6593765,-4.0111627
IS21309.C1AB3ACXX.7.250137682,Eastern Africa,KEN,38.11000061,-1.519999981
IS21310.C1AB3ACXX.7.250137683,Eastern Africa,KEN,38.04000092,-0.579999983
IS21323.C1AB3ACXX.7.250137684,Eastern Africa,KEN,37.40000153,-1.230000019
IS21328.C1AB3ACXX.7.250137685,Eastern Africa,KEN,38.20999908,0.129999995
IS21343.C1AB3ACXX.7.250137686,Eastern Africa,KEN,37.47999954,0.119999997
IS21347.C1AB3ACXX.7.250137687,Eastern Africa,KEN,37.56000137,-2.950000048
IS21401.70MUKAAXX.2.250006035,Southern Africa,MWI,32.97999954,-13.77000046
IS21403.C1AB3ACXX.7.250137688,Southern Africa,MWI,33.59000015,-14.18000031
IS21425.70MUKAAXX.2.250006057,Southern Africa,MWI,35.49000168,-16.03000069
IS21464.C1AB3ACXX.7.250137689,Southern Africa,MWI,35.27999878,-17.03000069
IS21512.MRG.4.250047502,Southern Africa,MWI,34.77999878,-16.14999962
IS21521.C1AB3ACXX.7.250137690,Southern Africa,MWI,35.27999878,-15.38000011
IS21522.C1AB3ACXX.7.250137691,Southern Africa,MWI,34.95000076,-14.97999954
IS21535.C1AB3ACXX.7.250137692,Southern Africa,MWI,34.45000076,-13.77999973
IS21545.C1AB3ACXX.7.250137693,Southern Africa,MWI,33.40000153,-13.06999969
IS21546.C1AB3ACXX.7.250137694,Southern Africa,MWI,34.29000092,-12.93000031
IS21557.C1AB3ACXX.7.250137695,Southern Africa,MOZ,35.52999878,-13.65999985
IS2156.628P7AAXX.7.250007017,Western Africa,NGA,8.31000042,13.02999973
IS21565.C1AB3ACXX.7.250137696,Southern Africa,MWI,33.75,-10.97999954
IS21583.C1AB3ACXX.7.250137697,Southern Africa,MWI,34.25,-14.35999966
IS21631.C1AB3ACXX.7.250137698,Southern Africa,MWI,33.52999878,-13.61999989
IS21645.MRG.4.250047503,Southern Africa,MWI,34.84999847,-16.28000069
IS21863.MRG.4.250047504,Mashriq,SYR,36.29999924,33.5
IS21976.C1AB3ACXX.7.250137699,South Asia,IND,77.52999878,10.72999954
IS21982.C1AB3ACXX.7.250137701,South Asia,IND,77.09999847,14.53999996
IS21991.70MUKAAXX.2.250006093,South Asia,IND,78.65000153,19.68000031
IS21996.C1AB3ACXX.7.250137702,South Asia,IND,72.55000305,24.22999954
IS21997.C1AB3ACXX.7.250137703,South Asia,IND,75.55999756,21.01000023
IS22001.C1AB3ACXX.7.250137704,South Asia,IND,74.22000122,21.81999969
IS22009.C1AB3ACXX.7.250137705,South Asia,IND,72.95999908,19.19000053
IS22019.C1AB3ACXX.7.250137706,South Asia,IND,73.68000031,20.75
IS22025.C1AB3ACXX.7.250137707,South Asia,IND,74.80999756,34.08000183
IS22026.C1AB3ACXX.7.250137708,South Asia,IND,79.25,30.27000046
IS22040.B064FABXX.1.250009992,South Asia,IND,78.02999878,15.81999969
IS2205.MRG.4.250047657,South Asia,IND,77.1817017,28.6255144
IS2206.C1AB3ACXX.7.250137271,South Asia,IND,74.5,15.85999966
IS22074.70MUKAAXX.2.250006006,South Asia,IND,76.91000366,15.14000034
IS22100.C1AB3ACXX.7.250137709,South Asia,IND,75.08999634,14.67000008
IS22104.C1AB3ACXX.7.250137710,South Asia,IND,77.37000275,16.20000076
IS22193.C1AB3ACXX.7.250137711,South Asia,IND,76.12999725,12.13000011
IS22239.70MUKAAXX.2.250006015,Southern Africa,BWA,25.87999916,-24.47999954
IS22282.628P7AAXX.7.250007059,Southern Africa,BWA,26.82999992,-23.10000038
IS22287.628P7AAXX.7.250007083,Southern Africa,BWA,26.82999992,-23.10000038
IS22291.70MUKAAXX.2.250006026,Southern Africa,BWA,27.76000023,-23.01000023
IS22294.628P7AAXX.7.250007107,Southern Africa,BWA,27.76000023,-23.01000023
IS22325.70MUKAAXX.2.250006036,Southern Africa,BWA,23.56999969,-19.87999916
IS22330.628NVAAXX.5.250006909,Southern Africa,BWA,25.52000046,-24.39999962
IS22334.628NVAAXX.5.250006933,Southern Africa,BWA,22.04999924,-22.39999962
IS22598.C1AB3ACXX.7.250137712,South Asia,LKA,80.80000305,8.539999962
IS22601.C1AB3ACXX.7.250137713,South Asia,LKA,80.51000214,8.020000458
IS22604.C1AB3ACXX.7.250137714,South Asia,LKA,80.12999725,7.260000229
IS22608.C1AB3ACXX.7.250137715,South Asia,LKA,79.84999847,8.180000305
IS22609.70MUKAAXX.2.250006070,South Asia,LKA,80.98000336,7.320000172
IS22615.C1AB3ACXX.7.250137716,Southeast Asia,MMR,95.44999695,21.87999916
IS22616.MRG.4.250047509,Southeast Asia,MMR,95.69000244,22.56999969
IS22618.C1AB3ACXX.7.250137717,Southeast Asia,MMR,96.47000122,22.03000069
IS2262.628P7AAXX.7.250007041,North Africa,SDN,35.22000122,14.03999996
IS22701.C1AB3ACXX.7.250137718,Eastern Africa,SOM,42.41999817,3.829999924
IS22702.C1AB3ACXX.7.250137719,Eastern Africa,SOM,43,3.829999924
IS22720.MRG.4.250047510,Eastern Africa,SOM,43.5,3.420000076
IS22742.C1AB3ACXX.7.250137720,Eastern Africa,SOM,43.25,2.420000076
IS22746.D1EYBACXX.1.250137752,Eastern Africa,SOM,42.75,3.25
IS22751.D1EYBACXX.1.250137753,Eastern Africa,SOM,42.25,3.25
IS22785.D1EYBACXX.1.250137754,Eastern Africa,SOM,44.83000183,3.829999924
IS22789.D1EYBACXX.1.250137755,Eastern Africa,SOM,45.5,2.579999924
IS22792.D1EYBACXX.1.250137756,Eastern Africa,SOM,45.66999817,3.25
IS22799.MRG.4.250047511,Eastern Africa,SOM,45.25,4.75
IS22909.70MUKAAXX.2.250006094,North Africa,SDN,30.52000046,12.03999996
IS22986.70MUKAAXX.2.250006007,North Africa,SDN,30.52000046,10.52999973
IS22996.70MUKAAXX.2.250006016,North Africa,SDN,30.52000046,10.52999973
IS23033.D0D0HACXX.5.250046087,North Africa,SDN,33.41999817,14.31999969
IS23048.70MUKAAXX.2.250006027,North Africa,SDN,23.46999931,12.89999962
IS23053.70MUKAAXX.2.250006037,North Africa,SDN,32.5,12.53999996
IS23100.628NVAAXX.5.250006957,Southern Africa,TZA,34.74000168,-4.820000172
IS23108.D1EYBACXX.1.250137757,Southern Africa,TZA,36.09999847,-3.549999952
IS23142.628NVAAXX.5.250006981,Southern Africa,TZA,35.79000092,-7.389999866
IS23166.B064FABXX.1.250010004,Southern Africa,TZA,35.72999954,-6.170000076
IS23178.628P7AAXX.7.250007037,Southern Africa,ZMB,28.2833338,-15.5666666
IS23184.D1EYBACXX.1.250137758,Southern Africa,ZMB,29.62000084,-15.07999992
IS23188.D1EYBACXX.1.250137759,Southern Africa,ZMB,30.80999947,-14.55000019
IS23216.MRG.4.250047513,Southern Africa,ZMB,31.32999992,-14.25
IS23225.D1EYBACXX.1.250137760,Southern Africa,ZMB,32.06000137,-14.07999992
IS23240.D1EYBACXX.1.250137761,Southern Africa,ZMB,32.52999878,-13.55000019
IS23248.D1EYBACXX.1.250137762,Southern Africa,ZMB,28.57999992,-13.19999981
IS23262.D1EYBACXX.1.250137763,Southern Africa,ZMB,31.25,-9.289999962
IS23263.D1EYBACXX.1.250137764,Southern Africa,ZMB,32.11000061,-13.28999996
IS23275.D1EYBACXX.1.250137765,Southern Africa,ZMB,31.57999992,-13.52000046
IS23283.D1EYBACXX.1.250137766,Southern Africa,ZMB,22.26000023,-14.93000031
IS23298.D1EYBACXX.1.250137767,Southern Africa,ZMB,33.20000076,-12.27999973
